id,ddG_DUET
180.0,0.56
181.0,-2.07
182.0,-0.987
183.0,-1.674
184.0,-3.002
185.0,-0.894
186.0,-2.287
187.0,-2.693
188.0,-0.912
189.0,-0.367
190.0,0.498
191.0,0.445
192.0,-0.142
193.0,-0.618
194.0,-0.004
195.0,0.566
196.0,-0.443
197.0,-0.386
198.0,-0.07
199.0,-2.063
200.0,-1.387
201.0,0.534
202.0,-0.958
203.0,-0.063
204.0,-0.739
205.0,-1.326
206.0,-0.841
207.0,-0.597
208.0,0.222
209.0,1.398
210.0,0.021
211.0,1.307
212.0,-0.605
213.0,0.479
214.0,-0.644
215.0,-0.184
216.0,0.368
217.0,0.097
218.0,-0.948
219.0,-0.69
220.0,-0.909
221.0,-0.184
222.0,-2.216
223.0,-2.283
224.0,-0.88
225.0,-0.903
226.0,-0.331
227.0,0.029
228.0,-0.486
229.0,-2.756
230.0,-1.113
231.0,0.093
232.0,-0.027
233.0,0.175
234.0,0.382
235.0,1.788
236.0,1.408
237.0,-1.894
238.0,-0.98
239.0,0.503
240.0,0.316
241.0,0.22
242.0,0.757
243.0,0.452
244.0,0.164
245.0,-0.619
246.0,-0.037
247.0,-0.491
248.0,1.368
249.0,-0.358
250.0,-1.894
251.0,-1.797
252.0,-0.965
253.0,0.19
254.0,-3.343
255.0,-0.788
256.0,-2.195
257.0,-2.881
258.0,-2.848
259.0,-3.353
260.0,-3.175
261.0,-2.619
262.0,0.152
263.0,-0.195
264.0,-3.65
265.0,-3.214
266.0,-1.568
267.0,-3.424
268.0,-2.321
269.0,-0.874
270.0,-1.839
271.0,-0.444
272.0,-0.833
273.0,-0.927
274.0,-1.279
275.0,0.549
276.0,-0.839
277.0,-2.831
278.0,-0.316
279.0,-1.247
280.0,-0.82
281.0,-0.966
282.0,-1.371
283.0,0.301
284.0,-0.763
285.0,-0.618
286.0,-0.4
287.0,-3.248
288.0,-1.274
289.0,-2.707
290.0,-1.582
291.0,-1.961
292.0,-0.76
293.0,-0.825
294.0,-0.801
295.0,-1.527
296.0,-0.813
297.0,-1.414
298.0,-2.678
299.0,-3.137
300.0,-1.635
301.0,-1.261
302.0,-0.051
303.0,0.129
304.0,-0.7
305.0,0.283
306.0,0.048
307.0,-0.385
308.0,0.537
309.0,0.141
310.0,-3.114
316.0,-0.675
317.0,-1.915
318.0,0.201
319.0,-1.723
320.0,-0.068
321.0,-0.344
322.0,-2.294
323.0,0.836
324.0,0.661
325.0,2.33
326.0,0.958
327.0,0.209
328.0,0.051
329.0,-3.237
330.0,-0.367
331.0,-0.638
332.0,-0.547
333.0,-1.125
334.0,0.501
335.0,-0.283
336.0,-2.05
337.0,-1.193
338.0,-3.101
339.0,-0.61
340.0,-0.498
341.0,-0.572
342.0,-0.636
343.0,-0.835
344.0,-0.582
345.0,-0.202
346.0,-2.791
347.0,-0.709
348.0,-0.084
349.0,-3.111
