id,ddG_DUET
735.0,-1.59
736.0,-0.248
737.0,-0.405
738.0,-1.093
739.0,-0.247
740.0,-2.195
741.0,-0.988
742.0,-1.792
743.0,-0.135
744.0,-2.148
745.0,-2.014
746.0,0.238
747.0,-1.442
748.0,-0.702
749.0,-0.25
750.0,-0.234
751.0,-0.194
752.0,-0.599
754.0,-1.16
755.0,-0.459
756.0,-0.704
757.0,-0.389
758.0,-1.223
759.0,-0.513
760.0,-0.878
761.0,-0.538
762.0,-0.405
763.0,-0.223
764.0,0.004
765.0,0.325
767.0,-0.642
753.0,-1.989
