id,ddG_SDM2
195R,-4.77
196F,0.12
196R,1.16
197F,-0.3
197R,-0.18
198F,-0.03
198R,-0.07
199F,0.47
199R,0.67
200F,-0.1
200R,0.66
201F,0.14
201R,0.47
202F,-0.15
202R,0.38
203F,0.12
203R,1.35
204F,-0.02
204R,1.24
205F,-0.11
205R,0.86
206F,-0.5
206R,1.12
207F,-0.77
207R,-0.44
208F,-3.21
208R,-0.73
209F,-2.07
209R,-0.65
210F,-0.99
210R,1.0
211F,-0.87
211R,-0.85
212F,-0.88
212R,-0.84
213F,-0.87
213R,-0.85
214F,0.27
214R,-0.26
215F,-2.77
215R,-1.62
216F,-2.58
216R,-0.2
217F,0.84
217R,-0.84
218F,-0.72
218R,0.72
219F,-0.72
219R,0.72
220F,0.35
220R,-0.35
221F,0.68
221R,-0.67
222F,0.16
222R,-0.16
223F,-0.87
223R,0.88
224F,0.38
224R,-0.38
225F,-0.09
225R,0.1
226F,-1.71
226R,1.71
227F,0.22
227R,-0.22
228F,-0.74
228R,-0.98
229F,-0.87
229R,0.23
230F,0.12
230R,-1.76
231F,0.0
231R,0.0
232F,-0.35
232R,-0.29
233F,-0.87
233R,-0.36
234F,-0.59
234R,0.44
235F,-0.8
235R,0.65
236F,-1.37
236R,0.85
237F,-2.15
237R,-0.57
238F,-0.81
238R,-1.97
239F,-0.25
239R,0.26
240F,0.29
240R,-0.45
241F,-0.95
241R,0.74
242F,-2.37
242R,1.91
243F,-0.29
243R,-0.01
244F,-2.57
244R,-0.2
245F,-0.44
245R,-0.31
246F,0.13
246R,-0.12
247F,-0.34
247R,0.35
248F,1.43
248R,-1.42
249F,-1.54
249R,1.54
250F,0.81
250R,-2.32
251F,-0.67
251R,0.67
252F,0.72
252R,-0.47
253F,1.48
253R,-1.24
254F,0.09
254R,-2.02
255F,-1.76
255R,-0.44
256F,-0.41
256R,0.62
257F,-0.2
257R,0.22
258F,-1.53
258R,-0.59
259F,-0.2
259R,0.26
260F,-0.48
260R,-0.19
261F,-1.46
261R,0.08
262F,-0.63
262R,0.13
263F,-1.41
263R,-0.65
264F,0.08
264R,0.16
265F,-0.44
265R,0.38
266F,0.25
266R,0.21
267F,-1.14
267R,-0.87
268F,0.39
268R,-0.41
269F,0.3
269R,-0.39
270F,-1.26
270R,1.27
271F,0.43
271R,-0.43
272F,1.76
272R,-1.98
273F,0.41
273R,-0.35
274F,-0.27
274R,-0.56
275F,0.4
275R,-0.68
276F,1.8
276R,-2.63
277F,0.84
277R,-0.84
278F,-0.55
278R,0.72
279F,-0.72
279R,0.72
280F,0.35
280R,-0.35
281F,0.68
281R,-0.67
282F,-0.77
282R,0.77
283F,0.16
283R,-0.15
284F,0.79
284R,-0.78
285F,-3.24
285R,-0.71
286F,0.53
286R,-0.5
287F,0.54
287R,-0.4
288F,0.65
288R,-1.01
289F,-0.31
289R,-0.71
290F,-0.46
290R,-0.65
291F,0.55
291R,-0.56
292F,-3.25
292R,3.6
293F,-0.59
293R,0.23
294F,0.42
294R,-0.62
295F,-0.52
295R,0.78
296F,-0.43
296R,0.41
297F,-0.1
297R,-0.28
298F,-0.04
298R,0.0
299F,-0.09
299R,-0.46
300F,0.5
300R,-0.95
301F,0.03
301R,-0.37
302F,-0.3
302R,0.5
303F,-0.51
303R,0.01
304F,-0.13
304R,0.19
305F,0.31
305R,-0.72
306F,0.31
306R,-0.24
307F,-0.08
307R,0.14
308F,-1.73
308R,-2.45
309F,-0.76
309R,-3.17
310F,-0.43
310R,-3.24
311F,-0.84
311R,-0.88
312F,0.1
312R,-0.14
313F,-0.34
313R,-0.39
314F,0.12
314R,0.14
315F,0.23
315R,-3.02
316F,-0.15
316R,-2.55
317F,0.48
317R,-2.0
318F,0.39
318R,-0.38
319F,2.63
319R,-2.63
320F,1.0
320R,-0.99
321F,1.24
321R,-1.24
322F,1.45
322R,-0.78
323F,-0.35
323R,0.36
324F,-0.43
324R,0.41
325F,0.18
325R,-0.99
326F,-0.79
326R,-0.32
327F,-3.13
327R,3.13
328F,-2.05
328R,-0.65
329F,-1.77
329R,0.36
330F,-3.13
330R,3.13
331F,0.43
331R,2.6
332F,-0.6
332R,0.61
333F,1.71
333R,-1.63
334F,-0.7
334R,-0.57
335F,-0.53
335R,-0.34
336F,-2.64
336R,-0.43
337F,-3.56
337R,2.6
338F,-3.81
338R,-1.25
339F,-2.51
339R,-0.96
340F,-2.04
340R,-2.89
341F,-1.02
341R,-0.44
342F,-3.61
342R,0.45
263R_266F,-1.23
190R_189F,-1.59
91R_88F,0.71
302R_293F,0.14
179R_175F,-0.77
200R_203F,-0.77
222R_218F,-0.57
263R_256F,-0.51
283R_278F,-0.46
119R_118F,-0.9
76R_77F,0.46
78R_77F,1.49
168R_167F,-0.51
89R_90F,0.16
295R_298F,0.98
261R_265F,0.46
28R_29F,1.34
32R_33F,1.0
46R_47F,0.36
92R_93F,-0.2
164R_165F,1.0
266R_261F,-0.84
295R_297F,0.82
264R_261F,-0.9
310R_308F,-1.31
177R_178F,0.47
205R_199F,0.47
224R_221F,0.3
174R_178F,-0.2
202R_199F,-0.2
227R_221F,0.47
297R_299F,-0.19
255R_264F,-0.57
166R_167F,-0.74
71R_78F,-2.23
118R_121F,-2.49
192R_193F,1.44
43R_42F,-2.6
316R_315F,0.36
259R_265F,-0.2
262R_258F,-1.15
178R_175F,-1.13
199R_203F,-1.15
221R_218F,-1.18
256R_258F,-0.76
281R_278F,-1.22
322R_323F,-1.13
303R_302F,-0.5
76R_74F,-0.11
78R_74F,0.84
70R_76F,-0.86
255R_261F,0.14
258R_259F,-0.1
75R_70F,-0.13
170R_167F,-0.15
3R_2F,-0.97
88R_89F,-0.91
72R_78F,-1.54
177R_179F,0.1
205R_200F,0.1
224R_222F,-0.36
262R_263F,-0.97
256R_263F,-0.53
305R_296F,-1.35
77R_71F,0.64
262R_260F,-0.06
281R_284F,0.17
256R_260F,0.15
117R_119F,-0.04
263R_264F,-0.68
172R_171F,-0.68
197R_196F,0.02
219R_217F,1.57
198R_196F,-1.23
220R_217F,0.5
260R_265F,-0.34
176R_175F,-0.33
204R_203F,-0.09
223R_218F,0.41
266R_255F,-0.54
296R_303F,0.25
78R_75F,1.83
259R_255F,-1.7
89R_92F,0.17
254R_263F,-1.73
261R_262F,-0.34
295R_304F,0.32
260R_262F,-0.56
75R_79F,-1.45
260R_254F,0.11
80R_79F,-1.13
91R_90F,0.7
293R_296F,-0.23
79R_70F,1.51
160R_157F,1.25
206R_198F,1.23
80R_70F,0.35
282R_280F,1.05
121R_119F,-0.15
1R_2F,-0.58
294R_298F,-0.36
172R_179F,-0.22
197R_200F,-0.23
219R_222F,0.77
279R_283F,0.83
113R_114F,-0.74
260R_266F,0.39
26R_28F,-1.49
45R_46F,-0.61
162R_164F,-1.82
294R_304F,-0.85
254R_258F,-2.32
172R_174F,0.02
197R_202F,-0.32
219R_227F,0.93
198R_202F,-0.31
220R_227F,0.01
168R_170F,-3.04
259R_257F,-0.13
301R_293F,-0.52
73R_77F,-1.21
264R_255F,-0.6
302R_303F,0.06
71R_72F,-0.68
244R_241F,-0.38
284R_281F,-0.16
119R_120F,-0.63
73R_75F,-0.56
90R_89F,-1.13
174R_180F,-0.25
202R_201F,-0.25
180R_177F,-0.36
70R_74F,-0.91
201R_205F,-0.36
225R_224F,0.54
227R_225F,-0.46
172R_176F,-0.89
197R_204F,-1.03
219R_223F,-0.05
198R_204F,-1.35
74R_79F,-0.36
220R_223F,-0.98
171R_176F,-0.57
196R_204F,-0.58
217R_223F,-1.49
258R_266F,-0.48
171R_175F,-0.87
196R_203F,-0.78
217R_218F,-1.41
323R_322F,1.13
193R_191F,-2.79
209R_208F,-1.42
198R_200F,-0.6
216R_215F,-0.02
220R_222F,-0.11
261R_257F,0.77
37R_38F,-1.48
156R_155F,1.12
177R_173F,-0.48
157R_155F,-1.16
205R_206F,-0.24
235R_237F,-1.45
116R_114F,0.09
311R_310F,0.31
174R_177F,-0.46
202R_205F,-0.15
227R_224F,0.16
265R_262F,0.06
175R_178F,1.13
203R_199F,1.16
71R_80F,-0.67
53R_54F,-0.73
91R_92F,0.48
218R_221F,1.35
278R_281F,1.35
263R_258F,-1.05
265R_258F,-0.72
174R_172F,-0.01
202R_197F,-0.01
227R_219F,-0.93
300R_296F,-1.24
257R_265F,-0.61
258R_262F,-0.84
78R_76F,1.21
258R_254F,0.81
318R_319F,2.6
89R_88F,0.25
177R_172F,0.16
205R_197F,0.16
224R_219F,-1.06
89R_91F,-0.25
135R_136F,-0.4
304R_297F,0.04
308R_309F,-0.22
72R_80F,-0.06
120R_121F,-1.05
174R_173F,-0.77
202R_206F,-0.77
173R_175F,-0.12
206R_203F,-0.39
70R_79F,-1.5
2R_3F,-0.71
282R_278F,0.26
303R_300F,0.63
180R_172F,0.12
201R_197F,0.12
225R_219F,-0.44
309R_311F,-2.56
263R_260F,-0.01
169R_170F,-0.97
303R_305F,0.64
74R_70F,0.92
280R_283F,-0.11
179R_178F,0.17
200R_199F,0.17
222R_221F,0.31
283R_281F,0.54
270R_269F,1.73
258R_264F,-0.75
161R_165F,-0.85
88R_93F,-0.33
261R_259F,0.79
256R_261F,-0.7
262R_261F,-1.17
293R_305F,1.16
293R_301F,0.53
297R_295F,-0.81
268R_270F,-1.56
299R_295F,-1.09
75R_78F,-1.82
1R_3F,-0.84
79R_78F,-0.82
255R_262F,-0.31
80R_78F,-1.71
77R_79F,-0.5
304R_295F,-0.22
155R_156F,-2.2
284R_279F,-1.63
156R_157F,1.71
197R_198F,-0.08
219R_220F,0.92
266R_265F,-0.26
279R_280F,0.92
254R_261F,-1.83
325R_324F,-1.26
258R_256F,-0.74
305R_301F,-0.66
75R_73F,0.57
254R_256F,-1.83
260R_263F,-1.11
71R_73F,0.17
266R_262F,-0.02
264R_262F,-0.14
72R_71F,0.69
59R_58F,0.64
73R_71F,-0.16
93R_88F,0.33
165R_161F,-0.88
305R_293F,-1.16
323R_321F,1.49
255R_265F,0.23
9R_10F,-0.37
12R_13F,1.14
16R_17F,0.99
35R_36F,-3.01
74R_76F,0.11
182R_183F,0.31
188R_190F,-0.3
191R_193F,1.08
208R_209F,-0.67
215R_216F,-1.69
262R_255F,-1.46
256R_255F,-0.46
257R_255F,-1.48
180R_171F,-0.45
201R_196F,-0.45
225R_217F,0.97
296R_302F,-0.17
121R_118F,-1.09
254R_264F,-1.99
311R_308F,-1.09
259R_266F,0.29
260R_258F,-1.21
236R_237F,0.37
265R_257F,0.79
175R_180F,0.67
177R_174F,0.46
203R_201F,0.82
205R_202F,0.46
218R_225F,0.42
224R_227F,-0.15
236R_235F,0.29
259R_262F,-0.64
264R_265F,-0.22
71R_77F,-0.63
308R_311F,-2.4
174R_171F,-0.51
202R_196F,-0.51
227R_217F,0.56
79R_73F,1.98
282R_284F,1.71
180R_179F,-0.27
80R_73F,0.79
201R_200F,-0.27
90R_93F,0.24
225R_222F,0.18
77R_70F,0.31
27R_29F,-2.45
163R_165F,-2.57
263R_261F,-0.7
283R_284F,0.88
300R_305F,-0.07
300R_301F,-0.72
176R_178F,1.02
196R_198F,1.23
204R_199F,0.99
180R_178F,-0.2
201R_199F,-0.2
179R_177F,-0.09
200R_205F,-0.09
217R_220F,-0.49
222R_224F,0.16
223R_221F,1.52
225R_221F,0.64
295R_299F,1.1
241R_244F,0.31
177R_176F,-0.41
205R_204F,-0.6
224R_223F,-1.03
261R_266F,-0.31
265R_259F,0.21
175R_177F,0.56
192R_191F,-0.68
203R_205F,0.73
218R_224F,0.71
259R_254F,0.17
174R_179F,-0.34
202R_200F,-0.34
227R_222F,-0.11
175R_172F,0.98
203R_197F,0.98
218R_219F,-0.32
278R_279F,-0.32
71R_74F,-1.4
118R_120F,-0.01
150R_151F,0.3
259R_256F,-0.14
36R_35F,1.94
73R_76F,-1.42
257R_259F,0.16
76R_70F,0.86
180R_176F,-0.71
201R_204F,-0.71
225R_223F,-0.59
179R_180F,0.28
200R_201F,0.28
38R_37F,-1.38
222R_225F,-0.29
237R_235F,-1.38
74R_78F,-0.83
70R_78F,-1.91
258R_263F,-0.7
72R_73F,0.87
179R_173F,-0.35
200R_206F,-0.55
283R_282F,-0.53
303R_296F,-0.44
261R_254F,0.87
92R_88F,0.02
164R_161F,1.71
93R_90F,0.19
175R_173F,0.23
166R_170F,-0.84
203R_206F,0.4
255R_257F,0.86
258R_260F,-0.29
278R_282F,0.05
77R_76F,-0.59
221R_225F,-0.63
177R_175F,-0.55
118R_117F,-2.45
205R_203F,-0.73
174R_176F,-1.1
202R_204F,-1.1
224R_218F,-0.64
227R_223F,-1.17
293R_303F,0.03
71R_75F,-0.29
3R_4F,-1.96
1R_4F,-2.14
120R_118F,-0.63
151R_150F,-0.43
178R_180F,0.2
4R_3F,-0.74
199R_201F,0.2
76R_79F,-0.53
180R_174F,0.26
201R_202F,0.26
78R_79F,0.83
225R_227F,0.47
261R_256F,-0.13
179R_172F,0.22
200R_197F,0.22
222R_219F,-0.83
283R_279F,-0.76
260R_256F,-0.39
266R_257F,0.66
255R_256F,0.23
264R_257F,0.52
72R_77F,-0.28
78R_70F,1.91
170R_168F,0.23
88R_90F,-0.01
305R_303F,-0.85
284R_283F,-0.55
261R_264F,0.27
75R_72F,-0.25
79R_72F,1.22
80R_72F,0.06
266R_259F,0.34
264R_259F,-0.08
309R_308F,-0.94
72R_75F,0.26
178R_177F,-0.46
199R_205F,-0.46
221R_224F,-0.29
176R_177F,0.41
204R_205F,0.6
223R_224F,1.49
88R_92F,-0.67
161R_164F,-2.18
294R_299F,0.03
117R_121F,-0.84
2R_4F,-1.91
133R_134F,-0.68
143R_144F,-1.28
172R_175F,-0.82
197R_203F,-0.86
219R_218F,0.32
178R_172F,0.08
54R_53F,-3.52
199R_197F,0.08
168R_166F,-3.25
221R_219F,-1.4
279R_278F,0.16
281R_279F,-1.4
189R_190F,0.99
318R_320F,0.68
254R_260F,-1.81
260R_261F,-1.29
72R_74F,-0.77
168R_169F,-0.99
73R_74F,-1.63
75R_80F,-0.38
59R_60F,0.41
29R_28F,-2.78
33R_32F,-2.48
47R_46F,-0.35
79R_80F,1.14
75R_71F,0.3
93R_92F,-0.58
165R_164F,-2.48
60R_58F,0.3
79R_71F,1.99
176R_180F,0.68
80R_71F,0.68
204R_201F,0.71
223R_225F,0.59
257R_266F,-0.19
77R_78F,-1.49
263R_255F,-0.75
262R_265F,0.06
178R_173F,-0.77
199R_206F,-0.77
256R_265F,-0.15
176R_173F,-0.02
204R_206F,0.25
281R_282F,-1.41
180R_173F,-0.63
201R_206F,-0.63
26R_27F,-0.4
162R_163F,-0.64
255R_259F,0.41
296R_300F,1.24
173R_171F,0.31
169R_166F,-1.04
206R_196F,0.14
313R_312F,-0.36
121R_117F,-0.46
92R_90F,0.03
304R_298F,0.15
279R_284F,1.64
21R_22F,0.13
26R_29F,-0.42
45R_47F,-0.13
162R_165F,-0.54
280R_284F,0.57
296R_305F,1.35
301R_302F,-0.98
243R_241F,-0.28
175R_171F,0.7
203R_196F,0.78
218R_217F,1.24
198R_203F,-1.43
220R_218F,-0.93
260R_264F,0.15
280R_278F,-0.93
265R_266F,0.51
264R_258F,-0.93
265R_256F,0.16
175R_176F,0.17
203R_204F,0.09
218R_223F,-0.35
259R_258F,-1.42
254R_265F,-1.69
256R_262F,0.05
71R_76F,-1.46
257R_262F,-0.98
42R_43F,2.17
175R_179F,0.73
203R_200F,0.77
218R_222F,0.55
202R_198F,0.32
227R_220F,-0.01
257R_254F,-0.1
278R_283F,0.55
176R_172F,0.68
204R_197F,0.9
223R_219F,0.18
134R_133F,0.69
144R_143F,0.69
295R_294F,0.65
173R_178F,0.99
169R_168F,0.18
206R_199F,0.77
205R_198F,0.87
224R_220F,-0.13
282R_281F,1.53
304R_299F,0.18
171R_180F,0.45
196R_201F,0.45
217R_225F,-0.96
259R_263F,-1.33
73R_79F,-1.98
265R_254F,0.84
302R_300F,0.97
55R_56F,-0.95
175R_174F,1.07
203R_202F,1.23
218R_227F,0.87
60R_59F,-0.59
167R_170F,-2.54
259R_260F,-0.41
91R_93F,0.75
302R_305F,0.96
73R_70F,-0.57
201R_198F,0.44
225R_220F,0.31
179R_171F,-0.14
200R_196F,-0.14
193R_192F,-2.69
222R_217F,0.53
300R_303F,-0.87
321R_322F,-0.55
74R_72F,0.78
4R_2F,-0.53
70R_72F,-0.19
258R_261F,-0.64
179R_176F,-0.59
200R_204F,-0.71
222R_223F,-0.96
319R_318F,-2.6
171R_177F,0.03
196R_205F,0.03
217R_224F,-0.48
76R_78F,-1.2
235R_236F,-1.05
261R_263F,-0.5
255R_266F,-0.52
114R_113F,-1.01
266R_254F,0.47
3R_1F,-0.53
171R_172F,0.68
196R_197F,0.68
217R_219F,-1.56
262R_257F,0.23
256R_257F,0.88
155R_160F,-2.02
161R_162F,-0.66
284R_282F,-1.28
155R_157F,-0.73
263R_265F,-0.28
265R_264F,0.22
118R_119F,-0.22
284R_280F,-0.57
178R_171F,-0.52
120R_117F,-1.24
142R_141F,-1.04
176R_171F,0.57
199R_196F,-0.52
204R_196F,0.58
221R_217F,0.15
223R_217F,1.74
309R_310F,0.36
303R_301F,0.3
257R_256F,-0.4
90R_92F,-0.59
58R_60F,-0.62
298R_304F,-0.59
27R_28F,-3.24
74R_80F,0.72
163R_164F,-3.13
70R_80F,-0.35
2R_1F,-0.07
263R_262F,-0.71
294R_295F,-1.07
179R_174F,0.35
200R_202F,0.35
222R_227F,0.06
322R_321F,0.55
261R_258F,-1.28
264R_266F,0.02
303R_293F,-0.2
266R_256F,-0.09
254R_257F,-0.95
72R_76F,-0.69
147R_148F,-0.46
75R_77F,-0.53
22R_21F,-0.82
29R_26F,-0.49
47R_45F,0.13
79R_77F,0.96
80R_77F,-0.09
165R_162F,-0.31
254R_255F,-2.16
255R_254F,0.91
269R_270F,-1.73
297R_298F,0.12
299R_298F,-0.08
178R_179F,-0.17
199R_200F,-0.17
221R_222F,-0.53
281R_283F,-0.53
88R_91F,-1.1
293R_302F,-0.58
308R_310F,-1.39
299R_297F,0.13
173R_177F,0.82
206R_205F,0.49
297R_304F,-0.63
77R_80F,0.1
299R_304F,-0.82
178R_174F,0.2
199R_202F,0.2
221R_227F,-0.47
117R_118F,-0.65
100R_99F,-1.26
298R_297F,-0.11
264R_254F,0.56
298R_295F,-0.98
261R_260F,0.02
259R_261F,-1.38
93R_91F,-1.02
305R_302F,-1.13
75R_74F,-1.06
90R_88F,-0.15
79R_74F,0.36
93R_89F,-0.85
80R_74F,-0.72
91R_89F,0.46
136R_135F,0.41
264R_256F,-0.11
77R_72F,0.28
237R_236F,-2.07
262R_259F,0.04
178R_176F,-1.02
199R_204F,-0.98
221R_223F,-1.52
256R_259F,0.47
173R_180F,0.73
206R_201F,0.64
176R_179F,0.59
204R_200F,0.71
223R_222F,0.97
243R_244F,-0.22
301R_300F,0.72
310R_309F,-0.51
312R_313F,0.37
294R_297F,-0.27
92R_91F,-0.48
265R_260F,-0.01
172R_178F,-0.08
197R_199F,0.02
203R_198F,1.44
218R_220F,0.94
219R_221F,1.41
254R_259F,-1.23
266R_264F,-0.02
278R_280F,0.94
259R_264F,-0.17
279R_281F,1.41
79R_75F,1.95
10R_9F,-2.04
13R_12F,-2.85
17R_16F,-2.71
80R_75F,0.38
73R_78F,-2.35
99R_100F,-0.99
74R_73F,1.64
174R_175F,-1.07
183R_182F,-2.02
190R_188F,-1.42
202R_203F,-1.22
227R_218F,-0.76
257R_263F,-1.3
302R_296F,-0.01
176R_174F,0.94
204R_202F,1.11
223R_227F,1.17
163R_161F,-3.19
160R_156F,-0.82
173R_172F,0.59
206R_197F,0.59
282R_279F,0.21
300R_293F,-1.23
320R_318F,-0.68
90R_91F,-0.98
28R_26F,0.94
34R_36F,-2.56
46R_45F,0.62
164R_162F,0.93
241R_243F,0.63
304R_294F,0.42
265R_263F,-0.46
177R_180F,0.37
205R_201F,0.37
224R_225F,-0.53
311R_309F,-0.15
71R_79F,-1.98
77R_73F,1.21
257R_258F,-1.53
180R_175F,-0.66
201R_203F,-0.81
225R_218F,-0.2
119R_121F,-2.53
4R_1F,-0.47
263R_257F,0.35
298R_294F,0.28
27R_26F,-1.14
74R_77F,0.44
163R_162F,-1.16
70R_77F,-0.3
71R_70F,-0.37
244R_243F,-0.83
200R_198F,0.61
222R_220F,0.02
283R_280F,0.11
113R_116F,-0.97
171R_179F,0.05
196R_200F,0.14
217R_222F,-0.72
76R_72F,0.7
70R_73F,0.57
119R_117F,-2.73
78R_72F,1.54
89R_93F,0.05
301R_305F,0.67
263R_259F,0.0
269R_268F,-0.1
166R_168F,-0.44
261R_255F,-0.34
34R_35F,0.36
74R_75F,1.07
92R_89F,-0.41
171R_178F,0.53
70R_75F,0.14
196R_199F,0.53
198R_199F,-0.72
217R_221F,-0.14
220R_221F,0.37
280R_281F,0.37
324R_325F,-1.39
170R_169F,-0.7
266R_263F,-0.36
264R_263F,-0.69
171R_174F,0.52
196R_202F,0.52
217R_227F,-0.56
72R_79F,-1.21
262R_266F,0.51
256R_266F,0.29
29R_27F,-0.28
165R_163F,-0.11
255R_258F,-1.29
284R_278F,-1.48
305R_300F,0.08
257R_260F,-0.4
270R_268F,1.57
120R_119F,-0.48
58R_59F,-1.1
321R_323F,-1.49
300R_302F,-1.25
117R_120F,-0.26
141R_142F,-0.72
76R_80F,0.7
78R_80F,1.71
76R_71F,1.46
169R_167F,-0.29
78R_71F,2.24
254R_266F,-1.73
170R_166F,-0.46
334R_333F,1.1
166R_169F,-1.34
266R_258F,-0.83
255R_263F,-0.57
258R_265F,-0.53
75R_76F,-1.01
114R_116F,-2.9
310R_311F,-3.03
161R_163F,-0.76
262R_254F,0.47
167R_166F,-2.73
256R_254F,0.73
293R_300F,1.23
255R_260F,0.02
173R_179F,0.48
