id,ddG_mCSM,url
36,-0.499,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499838.14
37,-0.334,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499847.53
38,-0.717,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499857.0
39,-2.876,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499866.19
40,-3.066,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499875.9
41,-0.569,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499884.74
42,-1.59,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499893.98
43,-3.666,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499904.15
44,-0.046,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499913.08
45,0.333,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499921.71
46,-0.22,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499930.29
47,-1.502,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499939.91
48,-0.817,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499949.42
49,-0.338,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499958.32
50,-0.648,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499970.04
51,-0.955,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499979.03
52,-2.418,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499988.12
53,-0.509,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626499997.07
54,0.595,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500005.87
55,-0.311,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500014.83
56,-0.981,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500023.61
57,-0.158,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500032.56
58,0.429,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500041.57
59,-1.456,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500050.03
60,-0.443,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500058.66
61,-0.502,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500067.67
62,-0.221,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500076.53
63,-1.264,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500088.55
64,-0.333,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500097.5
65,-1.557,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500106.2
66,-0.978,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500114.99
67,-2.457,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500124.09
68,0.047,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500133.68
69,-0.203,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500144.63
70,-2.222,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500155.78
71,-2.936,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500164.97
72,-0.328,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500174.18
73,-1.337,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500183.43
74,-0.325,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500192.89
75,-0.926,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500201.79
76,-0.841,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500210.94
77,-1.597,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500219.94
78,-0.782,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500228.75
79,-2.209,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500238.77
80,-0.527,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500248.06
81,0.128,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500257.64
82,-0.028,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500266.38
83,-0.307,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500278.82
84,-3.04,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500287.98
85,-2.638,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500296.76
86,-1.81,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500307.17
87,-1.009,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500319.39
88,-1.956,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500328.92
89,-1.891,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500337.98
90,1.86,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500346.92
91,-2.322,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500356.25
92,-0.08,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500365.19
93,-0.241,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500375.04
94,-1.59,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500384.76
95,-0.231,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500393.54
96,-1.036,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500403.32
97,-3.227,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500413.21
98,-0.253,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500422.75
99,-1.556,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500431.95
100,-1.673,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500441.52
101,-1.711,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500451.18
102,-0.172,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500460.18
103,-1.517,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500469.68
104,-1.294,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500479.03
105,-1.102,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500488.58
106,0.597,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500499.38
107,-2.584,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500508.55
108,0.606,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500517.11
109,-2.64,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500526.82
110,-0.715,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500537.53
111,-0.662,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500549.64
112,-1.961,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500558.65
113,-1.3,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500568.6
114,-1.755,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500577.43
115,-1.244,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500586.71
116,-1.249,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500597.98
117,0.172,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500606.81
118,-0.46,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500616.11
119,-1.482,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500626.75
120,-0.747,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500635.71
121,-0.67,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500644.61
122,-0.276,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500654.33
123,-2.585,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500663.1
124,-0.351,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500671.45
125,-0.314,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500680.26
126,-0.056,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500690.99
127,-0.218,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500699.79
128,-1.298,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500709.02
129,-0.279,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500718.29
130,-1.284,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500728.05
131,-0.622,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500739.04
132,-1.188,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500748.56
133,-0.488,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500757.62
134,-1.489,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500767.02
135,-1.65,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500776.91
136,0.521,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500785.74
137,-1.168,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500795.04
138,-0.736,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500804.18
139,-0.784,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500812.64
140,-0.797,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500824.3
141,-0.909,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500833.87
142,-0.96,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500843.48
143,-0.61,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500855.3
144,0.277,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500864.96
145,-0.148,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500873.66
146,-1.07,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500883.23
147,-0.844,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500894.45
148,-0.086,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500904.47
149,-0.55,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500913.11
150,-1.881,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500922.31
151,0.128,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500931.64
152,-2.178,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500940.96
153,-0.575,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500949.22
154,-0.245,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500958.25
155,-1.323,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500967.9
156,-0.639,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500977.1
157,-2.265,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500986.6
158,-0.591,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626500995.39
159,-1.282,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501004.36
160,-0.106,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501013.7
161,-0.443,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501023.33
162,-0.413,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501032.59
163,-2.76,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501042.0
164,-2.706,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501051.39
165,-0.566,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501061.14
166,-0.592,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501070.53
167,0.133,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501079.79
168,-0.365,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501089.46
169,-3.351,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501098.49
170,-3.917,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501107.91
171,-2.868,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501117.96
172,-2.378,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501127.75
173,0.192,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501136.95
174,-0.3,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501146.48
175,-0.133,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501155.48
176,-0.6,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501164.81
177,0.41,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501173.31
178,-2.06,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501183.06
179,0.254,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501192.7
180,-0.66,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501202.12
181,-0.897,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501211.33
182,-1.21,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501220.28
183,-0.494,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501230.37
184,0.797,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501239.36
185,-0.391,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501248.73
186,-1.247,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501260.75
187,-1.072,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501271.18
188,0.112,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501280.73
189,-1.406,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501289.86
190,-0.397,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501299.55
191,-0.142,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501308.63
192,-0.904,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501317.57
193,-0.205,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501328.7
194,0.175,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501337.6
195,-2.487,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501346.84
196,-1.164,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501356.86
197,-2.218,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501367.44
198,-0.07,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501376.17
199,-3.336,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501385.27
200,-0.047,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501394.54
201,-0.037,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501405.25
202,-0.251,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501414.78
203,-1.006,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501427.11
204,-1.044,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501436.05
205,-0.356,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501444.6
206,-1.036,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501454.08
207,-3.514,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501464.94
208,-0.673,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501474.8
209,-2.002,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501484.11
210,-0.291,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501492.9
211,-0.727,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501502.36
212,-1.334,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501513.36
213,-0.178,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501523.4
214,-0.68,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501532.37
215,0.464,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501541.43
216,-1.306,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501549.96
217,-2.462,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501558.77
218,-0.591,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501568.02
219,-2.208,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501578.0
220,-0.424,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501587.7
221,-0.117,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501598.91
222,-0.115,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501607.56
223,1.732,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501616.7
224,0.031,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501625.6
225,-0.224,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501633.96
226,-0.895,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501643.31
227,-0.002,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501653.95
228,-0.033,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501663.28
229,-1.356,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501672.18
230,-0.256,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501681.51
231,-1.384,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501690.26
232,-2.154,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501700.21
233,-0.866,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501712.27
234,-0.519,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501723.88
235,-0.85,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501735.56
236,-0.84,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501745.58
237,-1.234,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501757.67
238,0.079,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501766.47
239,-0.243,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501775.42
240,-2.878,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501784.31
241,-0.081,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501793.83
242,-0.586,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501802.69
243,-1.065,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501812.29
244,-0.684,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501824.45
245,-1.664,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501833.44
246,-0.694,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501842.22
247,-0.544,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501851.07
248,-1.743,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501860.67
249,-0.857,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501869.8
250,-1.176,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501878.32
251,0.475,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501890.49
252,-0.73,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501899.29
253,-0.53,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501908.9
254,-0.892,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501917.78
255,-0.7,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501926.42
256,-0.155,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501936.84
257,-0.641,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501947.75
258,-0.804,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501959.07
259,0.054,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501970.8
260,-1.051,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501980.98
261,-3.218,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626501992.38
262,-3.095,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502001.42
263,1.627,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502014.46
264,-0.734,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502026.86
265,0.195,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502036.8
266,-2.61,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502047.84
267,-0.282,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502057.06
268,0.282,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502066.66
269,-0.435,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502076.16
270,-0.471,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502088.21
271,-0.468,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502096.87
272,0.098,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502106.42
273,0.212,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502115.25
274,-1.411,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502124.63
275,-1.068,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502135.26
276,-0.074,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502145.5
277,-1.21,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502157.82
278,-3.065,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502167.89
279,0.782,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502177.96
280,-0.054,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502187.58
281,-0.802,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502196.53
282,-0.539,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502205.56
283,-0.876,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502214.09
284,-0.356,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502223.71
285,-0.805,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502236.13
286,-0.508,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502245.48
287,-0.152,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502253.8
288,-0.93,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502265.58
289,-1.265,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502277.79
290,-0.247,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502286.21
291,-2.169,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502294.81
292,-0.189,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502303.67
293,-0.38,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502314.33
294,-1.141,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502323.72
295,0.505,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502332.81
296,-0.26,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502342.68
297,-1.315,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502352.28
298,-0.923,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502362.54
299,-0.089,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502372.19
300,-0.357,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502382.82
301,-0.685,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502392.5
302,-2.525,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502404.97
303,-1.733,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502415.5
304,0.157,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502425.21
305,-0.989,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502434.98
306,-0.545,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502443.48
307,0.273,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502452.04
308,-0.687,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502460.67
309,0.027,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502470.25
310,-1.532,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502479.77
311,-1.526,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502491.63
312,-1.349,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502500.75
313,-1.098,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502509.96
314,-0.81,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502519.3
315,-1.276,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502529.58
316,-0.535,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502539.22
317,-0.449,http://biosig.unimelb.edu.au/mcsm/results_stability_prediction/1626502548.21
