id,ddG_MAESTRO,ddG_confidence
65R,0.55015,0.88445
66F,0.21538,0.84049
66R,1.03422,0.89798
67F,1.54153,0.88296
67R,0.01223,0.91448
68F,1.13082,0.88728
68R,0.95364,0.88128
69F,-0.47994,0.91849
69R,1.19732,0.87464
70F,0.06956,0.86366
70R,0.23191,0.91438
71F,-0.00435,0.86534
71R,0.32564,0.86939
72F,0.02379,0.88701
72R,0.20932,0.89463
73F,0.07982,0.89852
73R,0.35663,0.8608
74F,0.38956,0.89884
74R,0.33213,0.8987
75F,0.12895,0.89227
75R,0.14074,0.91808
76F,0.11438,0.8888
76R,0.20902,0.90308
77F,0.12005,0.8976
77R,0.26144,0.89202
78F,0.76503,0.86216
78R,0.08978,0.88432
79F,0.22816,0.88787
79R,0.20969,0.89301
80F,0.12045,0.87517
80R,0.20891,0.91035
81F,3.03947,0.80617
81R,-0.31565,0.85889
82F,0.49479,0.85563
82R,1.32744,0.8947
83F,-0.25734,0.70519
83R,0.41518,0.88198
84F,0.89204,0.87412
84R,-0.00774,0.86376
85F,0.43279,0.91392
85R,0.56233,0.93368
86F,1.83316,0.86833
86R,0.1839,0.88453
87F,2.63072,0.90766
87R,-0.33907,0.92315
88F,1.26433,0.88987
88R,0.46494,0.9427
89F,1.02145,0.8963
89R,0.51515,0.91555
90F,1.25778,0.88885
90R,0.49795,0.86069
91F,0.83421,0.89579
91R,0.68161,0.90123
92F,0.85595,0.89352
92R,0.95548,0.89354
93F,1.88513,0.896
93R,0.38308,0.9021
94F,0.76492,0.9072
94R,0.45365,0.93844
95F,1.23911,0.88872
95R,0.14135,0.8435
96F,0.91811,0.90805
96R,0.40078,0.91058
97F,0.72706,0.88644
97R,0.17908,0.89716
98F,0.80106,0.884
98R,-0.02619,0.87422
99F,2.22157,0.87821
99R,0.46955,0.90232
100F,0.80498,0.92346
100R,0.77972,0.93354
101F,1.23068,0.91507
101R,0.41404,0.93129
102F,-0.32453,0.79941
102R,0.2844,0.90287
103F,1.99708,0.87965
103R,-0.33465,0.83801
104F,2.02313,0.82838
104R,-0.00042,0.93894
105F,1.21894,0.88714
105R,0.22331,0.86831
106F,0.93648,0.91269
106R,1.11859,0.93442
107F,0.45263,0.92544
107R,1.10694,0.92019
108F,1.51183,0.88488
108R,-0.42376,0.79327
109F,1.91224,0.87829
109R,0.18715,0.88382
110F,1.14409,0.93508
110R,0.58092,0.9488
111F,0.82306,0.90251
111R,0.59287,0.8895
112F,-0.10968,0.83793
112R,0.27761,0.89922
113F,0.34329,0.84773
113R,0.94448,0.89713
114F,-0.39338,0.75841
114R,1.95451,0.88382
115F,1.55651,0.89311
115R,-0.29414,0.82392
116F,0.12643,0.83957
116R,1.12081,0.89969
117F,4.09367,0.8289
117R,-1.01855,0.8631
118F,2.33867,0.8244
118R,-0.12113,0.90831
119F,1.31753,0.91427
119R,0.22787,0.91157
120F,1.3988,0.88841
120R,0.22932,0.91574
121F,2.34263,0.87908
121R,-0.33931,0.93558
122F,1.7395,0.88304
122R,-0.48903,0.78193
123F,0.83715,0.88678
123R,0.18841,0.95185
124F,0.9955,0.85956
124R,-0.04922,0.92706
125F,0.29389,0.89492
125R,1.6913,0.89958
126F,0.7117,0.92018
126R,1.19398,0.92978
127F,0.97961,0.90042
127R,0.27305,0.87162
128F,0.29823,0.92239
128R,0.77427,0.91887
129F,0.4374,0.89673
129R,1.31501,0.90012
130F,0.18649,0.93791
130R,0.74464,0.90296
131F,-0.16589,0.92573
131R,0.47997,0.9175
132F,0.53332,0.9247
132R,0.67273,0.90399
133F,0.17131,0.89588
133R,0.41338,0.84085
134F,0.7011,0.80877
134R,0.05228,0.9211
135F,-0.49338,0.90114
135R,-0.02053,0.86123
136F,-0.35794,0.89947
136R,0.09044,0.89181
137F,1.32355,0.88667
137R,0.04618,0.84228
138F,0.71469,0.93746
138R,0.94937,0.90578
139F,0.91645,0.921
139R,1.29191,0.91911
140F,-0.3099,0.9272
140R,2.95016,0.86749
141F,2.32349,0.86681
141R,-0.25986,0.91897
142F,1.11482,0.90326
142R,0.35061,0.94473
143F,0.48883,0.86711
143R,0.54076,0.86564
144F,0.79602,0.86852
144R,0.06273,0.88574
145F,0.71041,0.88145
145R,-0.07638,0.91983
146F,1.41727,0.9039
146R,0.39315,0.93098
147F,0.24137,0.84197
147R,1.12877,0.88294
148F,0.28116,0.83178
148R,1.07345,0.87946
149F,1.06829,0.8928
149R,0.08229,0.90905
150F,0.82942,0.874
150R,0.4945,0.94789
151F,1.0596,0.90623
151R,0.56964,0.93634
152F,1.02024,0.89201
152R,0.08196,0.9238
153F,-0.64365,0.87906
153R,0.54444,0.91052
154F,1.09722,0.88474
154R,0.20925,0.86686
155F,0.89857,0.8638
155R,0.42796,0.954
156F,1.8339,0.86335
156R,-0.0341,0.8761
157F,0.06624,0.92091
157R,1.65967,0.89457
158F,0.39272,0.8989
158R,1.22355,0.93534
159F,1.21736,0.89938
159R,-0.36721,0.75158
160F,2.32109,0.88206
160R,-0.69547,0.88992
161F,0.58443,0.93334
161R,0.77957,0.91159
162F,0.25586,0.90148
162R,1.28607,0.92949
163F,-0.54989,0.91687
163R,2.10345,0.88107
164F,1.48173,0.9186
164R,0.54129,0.93011
165F,-0.04999,0.88471
165R,1.42583,0.92202
166F,2.82142,0.87643
166R,-0.17675,0.95126
167F,0.75178,0.9123
167R,1.09009,0.86997
168F,0.16929,0.8736
168R,2.25717,0.8176
169F,1.21918,0.89821
169R,0.69933,0.8643
170F,1.38688,0.91037
170R,1.2249,0.89755
171F,0.23194,0.88506
171R,-0.03394,0.89217
172F,0.29066,0.86764
172R,0.31912,0.92401
173F,0.19409,0.86416
173R,0.32456,0.85649
174F,0.08292,0.89203
174R,0.05639,0.89388
175F,0.17264,0.87576
175R,0.17967,0.92404
176F,0.22449,0.88143
176R,0.26104,0.85752
177F,0.13011,0.89755
177R,-0.03711,0.90698
178F,0.04414,0.89491
178R,0.1808,0.87795
179F,0.02697,0.88047
179R,0.04312,0.89435
180F,0.05779,0.89549
180R,0.12741,0.89113
181F,0.26694,0.89476
181R,0.22021,0.90248
182F,1.24602,0.88098
182R,0.21922,0.89961
183F,0.81919,0.88849
183R,0.26983,0.88641
184F,0.44333,0.86901
184R,0.47738,0.85644
185F,0.13073,0.91839
185R,0.21197,0.92586
186F,-0.26877,0.83109
186R,0.43172,0.87433
187F,0.44703,0.86136
187R,0.73626,0.8449
188F,1.83007,0.87306
188R,0.04068,0.90925
189F,1.69708,0.86076
189R,0.0472,0.90657
190F,0.94776,0.88193
190R,0.597,0.861
191F,2.27023,0.84481
191R,0.03329,0.89327
192F,2.55835,0.81136
192R,-0.39307,0.80088
193F,1.34408,0.87254
193R,0.40542,0.83932
194F,-9e-05,0.89426
194R,-0.05007,0.88789
195F,0.28512,0.85022
195R,0.2089,0.88944
196F,0.70361,0.86315
196R,0.2421,0.90758
197F,0.3668,0.86502
197R,0.49487,0.85912
198F,0.22672,0.92141
198R,0.19825,0.92596
199F,0.40191,0.86999
199R,0.08408,0.91731
200F,0.28982,0.86108
200R,0.04747,0.90251
201F,0.40036,0.87121
201R,0.16515,0.91585
202F,0.41071,0.87213
202R,0.05521,0.90828
203F,0.4636,0.87782
203R,0.19966,0.89668
204F,0.35955,0.86563
204R,0.08228,0.91572
205F,0.41466,0.90547
205R,-0.27204,0.88043
206F,0.24345,0.82177
206R,0.11471,0.91468
207F,1.58662,0.86648
207R,0.62028,0.85777
208F,2.01727,0.85911
208R,-0.05216,0.90326
209F,1.0166,0.89432
209R,0.27999,0.88626
210F,0.24164,0.90931
210R,0.55395,0.88182
211F,1.0477,0.90162
211R,0.25895,0.89123
212F,1.09826,0.90168
212R,0.44539,0.86241
213F,1.03977,0.90012
213R,0.48367,0.87251
214F,0.09435,0.89604
214R,0.05355,0.89024
215F,1.52236,0.89219
215R,0.03976,0.91322
216F,0.99661,0.90136
216R,0.58441,0.88992
217F,0.17218,0.90382
217R,0.32482,0.90997
218F,-0.79543,0.71059
218R,0.56284,0.88255
219F,0.08745,0.88426
219R,0.33822,0.91316
220F,0.03281,0.88659
220R,0.1566,0.90605
221F,0.0147,0.88814
221R,0.16845,0.90351
222F,0.02745,0.88264
222R,0.05605,0.90693
223F,-0.75381,0.71501
223R,0.53794,0.8843
224F,-0.07403,0.86462
224R,-0.05894,0.88636
225F,0.10861,0.89998
225R,-0.15226,0.88411
226F,-0.47026,0.74932
226R,0.38614,0.87253
227F,0.08675,0.90733
227R,-0.05658,0.90074
228F,1.09114,0.88793
228R,0.3012,0.89387
229F,0.55005,0.8828
229R,0.50994,0.87535
230F,1.2091,0.90101
230R,0.01814,0.87592
231F,0.89931,0.88553
231R,-0.1248,0.88497
232F,0.31543,0.8918
232R,1.59632,0.89459
233F,1.70635,0.84984
233R,0.45823,0.93475
234F,0.79008,0.78848
234R,0.39615,0.85165
235F,1.03911,0.93213
235R,0.8187,0.93474
236F,2.52747,0.86051
236R,0.87078,0.86319
237F,1.55585,0.85958
237R,0.31026,0.89822
238F,0.41724,0.91026
238R,1.25281,0.90072
239F,-0.44653,0.87724
239R,-0.58197,0.9252
240F,0.42691,0.93002
240R,0.56736,0.94246
241F,1.90651,0.85888
241R,-0.24778,0.8322
242F,1.69281,0.87944
242R,-0.76388,0.71875
243F,1.88862,0.86905
243R,0.25974,0.90522
244F,1.53657,0.87873
244R,0.30212,0.88604
245F,2.00135,0.84479
245R,-0.27745,0.83934
246F,-0.11666,0.93062
246R,0.68921,0.87493
247F,0.30477,0.94711
247R,1.20208,0.86869
248F,0.47017,0.89551
248R,0.77511,0.90035
249F,0.16009,0.8957
249R,0.24469,0.92915
250F,0.17227,0.87157
250R,1.98979,0.86321
251F,-0.05451,0.91336
251R,-0.0447,0.90682
252F,-0.12027,0.91268
252R,1.38202,0.87947
253F,0.32622,0.93641
253R,0.1983,0.91252
254F,0.4102,0.92043
254R,1.58777,0.85255
255F,1.44596,0.89738
255R,-0.45224,0.93381
256F,-0.36568,0.91344
256R,1.22492,0.88357
257F,0.58008,0.92219
257R,0.3541,0.89526
258F,1.30222,0.91375
258R,0.23448,0.91424
259F,0.23088,0.94887
259R,0.5886,0.89592
260F,0.96693,0.88269
260R,-0.39691,0.91029
261F,1.20142,0.90018
261R,-0.04532,0.93633
262F,0.20275,0.94607
262R,0.2016,0.89451
263F,1.34708,0.89814
263R,-0.04257,0.91574
264F,0.19012,0.90007
264R,1.0074,0.88521
265F,0.11399,0.90718
265R,-0.419,0.84292
266F,0.02509,0.8924
266R,0.47068,0.79171
267F,0.0969,0.8337
267R,1.13728,0.89881
268F,0.62564,0.93776
268R,0.11439,0.87628
269F,0.67825,0.9311
269R,-0.09909,0.88755
270F,1.57462,0.88698
270R,-0.23563,0.94419
271F,0.11091,0.91676
271R,0.26223,0.92489
272F,-0.57387,0.88
272R,0.64952,0.93335
273F,0.00623,0.90845
273R,0.1737,0.90175
274F,0.4531,0.88375
274R,0.16119,0.91347
275F,0.21539,0.91817
275R,0.44855,0.89934
276F,1.25199,0.82345
276R,0.76217,0.86682
277F,0.10309,0.87425
277R,0.49592,0.87822
278F,-0.46984,0.75683
278R,0.53021,0.87546
279F,0.12964,0.87857
279R,0.64848,0.8822
280F,-0.011,0.87772
280R,0.23315,0.90453
281F,-0.20493,0.87766
281R,0.31807,0.89928
282F,-0.41372,0.75257
282R,0.46196,0.88333
283F,-0.09063,0.86427
283R,0.16838,0.8918
284F,-0.63677,0.74502
284R,0.4298,0.87195
285F,1.46053,0.88957
285R,-0.38163,0.75269
286F,0.10659,0.84787
286R,0.0348,0.86169
287F,-0.35929,0.91366
287R,0.26985,0.86522
288F,0.22099,0.91812
288R,0.36673,0.88628
289F,0.95544,0.88128
289R,0.4976,0.88504
290F,1.11743,0.89677
290R,0.20742,0.8924
291F,0.9632,0.89599
291R,-0.00706,0.91792
292F,1.47644,0.89939
292R,0.74432,0.88991
293F,0.58432,0.8585
293R,0.25522,0.9068
294F,0.33155,0.91372
294R,0.25304,0.90203
295F,0.41669,0.85612
295R,0.21838,0.8898
296F,0.45191,0.85634
296R,0.08977,0.88191
297F,0.31392,0.91429
297R,0.05837,0.89711
298F,0.56101,0.85515
298R,0.33243,0.89801
299F,0.28869,0.89968
299R,0.18271,0.90735
300F,0.33964,0.88879
300R,0.23089,0.89249
301F,0.30723,0.88838
301R,0.19064,0.87855
302F,0.43164,0.85138
302R,0.15456,0.90438
303F,0.34546,0.87395
303R,0.09536,0.92722
304F,0.34518,0.90281
304R,0.40263,0.84801
305F,0.51315,0.85662
305R,0.20621,0.89743
306F,0.12889,0.88951
306R,0.9078,0.93911
307F,0.22648,0.87785
307R,1.19804,0.92592
308F,-0.12326,0.83275
308R,1.71298,0.87517
309F,-0.34549,0.80743
309R,1.82403,0.89008
310F,-0.60753,0.77983
310R,0.85329,0.80408
311F,0.02912,0.86799
311R,1.47881,0.8953
312F,0.30136,0.89183
312R,0.41446,0.89359
313F,0.03088,0.86431
313R,0.8093,0.88534
314F,0.62503,0.89784
314R,-0.06231,0.95947
315F,-0.05237,0.92634
315R,1.74954,0.90297
316F,0.47716,0.93301
316R,0.71606,0.9275
317F,0.18361,0.8898
317R,0.1052,0.70151
318F,0.16993,0.84549
318R,1.16983,0.83434
319F,-0.22721,0.89671
319R,0.74251,0.88082
320F,-0.2077,0.92672
320R,0.56025,0.8926
321F,-0.33526,0.96863
321R,1.43687,0.88084
322F,-0.10427,0.90688
322R,0.88842,0.91811
323F,-0.0874,0.93675
323R,1.00338,0.9346
324F,0.94434,0.87536
324R,0.7491,0.93159
325F,0.57419,0.92115
325R,1.34309,0.89951
326F,1.72494,0.88075
326R,0.80046,0.8792
327F,0.88692,0.85855
327R,0.3769,0.87021
328F,1.47938,0.90904
328R,1.09185,0.93909
329F,1.20361,0.93435
329R,0.24221,0.92219
330F,0.1723,0.90187
330R,0.22274,0.8808
331F,0.69075,0.85438
331R,0.18742,0.87911
332F,1.10972,0.90374
332R,0.70643,0.92382
333F,-0.49987,0.79698
333R,2.69398,0.81405
334F,-0.02005,0.85714
334R,1.92235,0.87512
335F,0.71421,0.91768
335R,0.47644,0.94699
336F,0.21677,0.91755
336R,0.15034,0.86419
337F,0.16873,0.9195
337R,0.06609,0.87014
338F,1.5653,0.86282
338R,0.29557,0.83904
339F,1.78255,0.82674
339R,0.4583,0.83681
340F,1.9981,0.80902
340R,0.21053,0.91128
341F,0.88776,0.82042
341R,1.19853,0.88881
342F,1.60955,0.8326
342R,0.08722,0.9067
263R_266F,-0.39427,0.92422
190R_189F,1.4525,0.88194
91R_88F,1.02139,0.88699
302R_293F,0.50581,0.87756
179R_175F,0.14861,0.89481
200R_203F,0.2017,0.85776
222R_218F,-0.3366,0.8651
263R_256F,-0.92385,0.89077
283R_278F,-0.00907,0.86918
119R_118F,2.08889,0.81643
76R_77F,-0.0061,0.87405
78R_77F,-0.16033,0.8699
168R_167F,1.32327,0.89288
89R_90F,1.20454,0.8881
295R_298F,0.31478,0.90929
261R_265F,-0.18895,0.90143
28R_29F,-0.15271,0.91643
32R_33F,-0.80702,0.91023
46R_47F,0.35762,0.87377
92R_93F,1.9307,0.83618
164R_165F,-0.31009,0.87671
266R_261F,1.34203,0.81695
295R_297F,0.10797,0.91507
264R_261F,1.88247,0.89385
310R_308F,0.81651,0.85897
177R_178F,0.01408,0.90324
205R_199F,-0.11656,0.88704
224R_221F,-0.10446,0.87551
174R_178F,-0.02246,0.89844
202R_199F,0.16436,0.91712
227R_221F,-0.16437,0.8786
297R_299F,0.03732,0.87846
255R_264F,-0.66295,0.91714
166R_167F,-0.69993,0.94765
71R_78F,0.88178,0.87407
118R_121F,1.55839,0.91577
192R_193F,-0.09518,0.85366
43R_42F,1.61553,0.8763
316R_315F,0.19067,0.93536
259R_265F,0.1855,0.92932
262R_258F,1.20705,0.92948
178R_175F,0.3236,0.88911
199R_203F,0.24897,0.85585
221R_218F,-0.59612,0.78806
256R_258F,2.38415,0.85465
281R_278F,-0.04494,0.84249
322R_323F,0.28654,0.95074
303R_302F,0.08756,0.92626
76R_74F,0.30002,0.91596
78R_74F,0.25018,0.91405
70R_76F,0.16319,0.9073
255R_261F,0.31922,0.92484
258R_259F,0.15552,0.91738
75R_70F,0.03682,0.90933
170R_167F,0.34729,0.92518
3R_2F,2.17787,0.80589
88R_89F,0.71244,0.89863
72R_78F,0.47639,0.85603
177R_179F,-0.09149,0.89924
205R_200F,-0.08839,0.88933
224R_222F,-0.1187,0.86646
262R_263F,0.78639,0.87453
256R_263F,2.44106,0.86212
305R_296F,0.35884,0.90153
77R_71F,-0.23614,0.83094
262R_260F,1.09964,0.85866
281R_284F,-0.21656,0.81372
256R_260F,2.17413,0.85324
117R_119F,-0.85133,0.90125
263R_264F,-0.33618,0.9305
172R_171F,0.4099,0.85274
197R_196F,0.75347,0.86621
219R_217F,0.35476,0.91591
198R_196F,0.62921,0.87523
220R_217F,0.18922,0.90571
260R_265F,-0.44178,0.936
176R_175F,0.18834,0.90764
204R_203F,0.24335,0.86223
223R_218F,-0.04402,0.89596
266R_255F,1.64651,0.81818
296R_303F,0.1084,0.89322
78R_75F,-0.1271,0.8837
259R_255F,0.93037,0.83544
89R_92F,0.57463,0.90551
254R_263F,1.76617,0.85344
261R_262F,0.14792,0.9361
295R_304F,0.23358,0.88453
260R_262F,-0.14857,0.92509
75R_79F,0.11036,0.91653
260R_254F,0.063,0.94266
80R_79F,0.17556,0.90819
91R_90F,1.50879,0.85078
293R_296F,0.40701,0.84825
79R_70F,-0.04724,0.87913
160R_157F,-0.95897,0.86966
206R_198F,0.13371,0.91328
80R_70F,-0.03241,0.87956
282R_280F,0.33952,0.91826
121R_119F,-0.05649,0.92651
1R_2F,1.74494,0.82418
294R_298F,0.53993,0.86432
172R_179F,0.20718,0.90496
197R_200F,0.49863,0.85678
219R_222F,0.32437,0.91414
279R_283F,0.29435,0.90623
113R_114F,-0.49487,0.84469
260R_266F,-0.45747,0.92198
26R_28F,2.4407,0.83882
45R_46F,0.92857,0.91085
162R_164F,2.01966,0.89554
294R_304F,0.31933,0.90458
254R_258F,2.0043,0.87416
172R_174F,0.21212,0.9136
197R_202F,0.45642,0.85431
219R_227F,0.36195,0.85709
198R_202F,0.21125,0.92273
220R_227F,0.07544,0.89921
168R_170F,2.01809,0.86105
259R_257F,0.63638,0.92598
301R_293F,0.50187,0.83799
73R_77F,0.35113,0.89829
264R_255F,2.02486,0.88423
302R_303F,0.2127,0.89386
71R_72F,0.02099,0.87771
244R_241F,1.50033,0.86893
284R_281F,0.32607,0.90002
119R_120F,0.92933,0.91079
73R_75F,0.33783,0.88249
90R_89F,0.7873,0.8864
174R_180F,-0.064,0.88838
202R_201F,0.01494,0.91086
180R_177F,0.04868,0.897
70R_74F,0.35792,0.87512
201R_205F,0.27576,0.88833
225R_224F,-0.29586,0.87317
227R_225F,-0.18712,0.88777
172R_176F,0.28249,0.89609
197R_204F,0.39369,0.89217
219R_223F,0.1481,0.90021
198R_204F,0.35793,0.86607
74R_79F,0.34571,0.85768
220R_223F,-0.60446,0.74165
171R_176F,0.09548,0.88185
196R_204F,0.36694,0.8636
217R_223F,-0.44405,0.73715
258R_266F,-0.22212,0.89795
171R_175F,0.12124,0.90003
196R_203F,0.38834,0.84716
217R_218F,-0.59364,0.73623
323R_322F,0.23289,0.89198
193R_191F,1.51127,0.87865
209R_208F,1.67141,0.88136
198R_200F,0.25545,0.85944
216R_215F,1.10726,0.90129
220R_222F,-0.03483,0.88855
261R_257F,0.0509,0.92604
37R_38F,0.99432,0.92138
156R_155F,0.40096,0.85281
177R_173F,-0.15767,0.89654
157R_155F,1.98069,0.8264
205R_206F,0.04983,0.89689
235R_237F,1.05144,0.85223
116R_114F,-0.07125,0.90608
311R_310F,0.11511,0.90545
174R_177F,0.02611,0.89097
202R_205F,0.24294,0.89403
227R_224F,-0.3278,0.86865
265R_262F,-0.23488,0.81089
175R_178F,0.16732,0.92369
203R_199F,0.24299,0.89915
71R_80F,0.28594,0.90609
53R_54F,-0.32703,0.79305
91R_92F,0.90202,0.88495
218R_221F,0.54529,0.88143
278R_281F,0.19332,0.91061
263R_258F,0.73033,0.92891
265R_258F,0.91492,0.84127
174R_172F,0.14384,0.89909
202R_197F,0.31315,0.85544
227R_219F,0.04559,0.90512
300R_296F,0.22868,0.8939
257R_265F,-0.01858,0.93687
258R_262F,0.48639,0.9188
78R_76F,0.00772,0.87692
258R_254F,-0.09728,0.91179
318R_319F,1.08189,0.87339
89R_88F,0.49276,0.91496
177R_172F,-0.21537,0.90058
205R_197F,0.04636,0.8937
224R_219F,-0.09645,0.91111
89R_91F,0.37485,0.92576
135R_136F,-0.23429,0.88767
304R_297F,0.30347,0.91061
308R_309F,0.62688,0.8801
72R_80F,0.09833,0.89874
120R_121F,1.45586,0.90178
174R_173F,0.0628,0.90443
202R_206F,0.44835,0.84274
173R_175F,0.17706,0.90556
206R_203F,0.28772,0.92762
70R_79F,0.23921,0.91014
2R_3F,1.65429,0.82114
282R_278F,0.24475,0.90801
303R_300F,0.25966,0.89518
180R_172F,0.22997,0.88405
201R_197F,0.32138,0.84715
225R_219F,0.08548,0.9076
309R_311F,1.14085,0.89663
263R_260F,0.82821,0.89382
169R_170F,1.24358,0.91229
303R_305F,0.33887,0.90799
74R_70F,0.08749,0.87546
280R_283F,-0.0292,0.86228
179R_178F,-0.03457,0.89791
200R_199F,0.19613,0.9179
222R_221F,-0.07632,0.8949
283R_281F,-0.03448,0.88513
270R_269F,0.37302,0.89377
258R_264F,-0.19475,0.90245
161R_165F,0.61005,0.90808
88R_93F,1.14576,0.90369
261R_259F,-0.15637,0.92616
256R_261F,1.97624,0.89591
262R_261F,0.99301,0.89044
293R_305F,0.33435,0.89976
293R_301F,0.21586,0.88681
297R_295F,0.08432,0.89877
268R_270F,0.89343,0.92354
299R_295F,0.18165,0.91329
75R_78F,0.45726,0.86855
1R_3F,1.55528,0.8368
79R_78F,0.62188,0.86201
255R_262F,-0.40189,0.9081
80R_78F,0.43437,0.86649
77R_79F,0.07845,0.84638
304R_295F,0.43623,0.83655
155R_156F,1.57987,0.86246
284R_279F,0.55577,0.85077
156R_157F,-0.61444,0.90891
197R_198F,0.60711,0.86445
219R_220F,0.2755,0.90811
266R_265F,0.66905,0.81672
279R_280F,0.38249,0.90721
254R_261F,1.25723,0.86894
325R_324F,1.36825,0.83489
258R_256F,-0.66046,0.90613
305R_301F,0.24493,0.89027
75R_73F,-0.10138,0.90077
254R_256F,0.7521,0.89172
260R_263F,0.85449,0.92549
71R_73F,0.17551,0.88611
266R_262F,1.11239,0.79867
264R_262F,1.34449,0.90208
72R_71F,-0.01014,0.87792
59R_58F,1.21685,0.88536
73R_71F,0.20112,0.89987
93R_88F,0.72794,0.88994
165R_161F,1.50752,0.90646
305R_293F,0.42486,0.88714
323R_321F,0.40456,0.93504
255R_265F,-0.70521,0.87776
9R_10F,-1.45074,0.84575
12R_13F,-1.16728,0.71774
16R_17F,-1.09331,0.75565
35R_36F,3.69759,0.77789
74R_76F,0.2915,0.89683
182R_183F,0.33803,0.84896
188R_190F,0.05239,0.91248
191R_193F,0.20945,0.91817
208R_209F,0.0678,0.90779
215R_216F,0.18715,0.91294
262R_255F,1.47829,0.86594
256R_255F,2.31983,0.89543
257R_255F,1.36614,0.85129
180R_171F,0.22034,0.89224
201R_196F,0.44932,0.86373
225R_217F,-0.03117,0.90194
296R_302F,0.15819,0.87655
121R_118F,0.90957,0.86219
254R_264F,1.15115,0.86069
311R_308F,0.48839,0.86583
259R_266F,0.35709,0.87829
260R_258F,0.95361,0.90008
236R_237F,1.09379,0.889
265R_257F,-0.44587,0.76659
175R_180F,0.10901,0.90718
177R_174F,-0.09127,0.88789
203R_201F,0.18796,0.91247
205R_202F,-0.20739,0.87667
218R_225F,0.78787,0.8824
224R_227F,-0.05755,0.86503
236R_235F,0.90186,0.89006
259R_262F,0.44049,0.89789
264R_265F,0.65209,0.92602
71R_77F,0.13674,0.89782
308R_311F,1.06975,0.89447
174R_171F,0.17358,0.90619
202R_196F,0.37817,0.85561
227R_217F,-0.03504,0.90382
79R_73F,-0.01762,0.89713
282R_284F,0.09216,0.90289
180R_179F,0.03055,0.88262
80R_73F,0.08207,0.88199
201R_200F,0.12306,0.91808
90R_93F,1.68458,0.83403
