id,ddG_IMutant3
204R_206F,0.34
180R_173F,-0.51
201R_206F,-0.41
162R_163F,0.01
173R_171F,0.09
162R_165F,-0.39
175R_171F,0.35
203R_196F,0.22
218R_217F,0.6
198R_203F,-0.62
220R_218F,-0.35
175R_176F,0.01
203R_204F,-0.12
218R_223F,0.32
175R_179F,0.62
203R_200F,0.51
218R_222F,0.78
202R_198F,-0.18
227R_220F,0.36
176R_172F,-0.21
204R_197F,-0.23
223R_219F,0.2
173R_178F,0.48
205R_198F,0.17
224R_220F,0.53
55R_56F,-1.1
175R_174F,0.36
203R_202F,0.24
218R_227F,0.51
201R_198F,-0.2
225R_220F,0.22
179R_171F,-0.06
200R_196F,-0.31
222R_217F,0.28
4R_2F,0.02
179R_176F,-0.19
200R_204F,-0.32
222R_223F,0.15
114R_113F,-2.68
3R_1F,-0.33
155R_160F,-1.23
161R_162F,-0.91
155R_157F,-0.06
178R_171F,-1.16
142R_141F,-2.05
176R_171F,0.14
199R_196F,-0.99
204R_196F,0.06
221R_217F,-0.44
223R_217F,0.36
27R_28F,-2.3
163R_164F,-2.28
2R_1F,0.02
179R_174F,0.12
200R_202F,-0.09
222R_227F,0.32
147R_148F,-1.73
165R_162F,-1.35
178R_179F,-0.25
199R_200F,-0.23
221R_222F,0.14
173R_177F,0.39
77R_80F,-0.32
178R_174F,-0.59
199R_202F,-0.54
221R_227F,-0.19
100R_99F,-2.13
77R_72F,-0.62
178R_176F,-1.03
199R_204F,-0.89
221R_223F,-0.4
173R_180F,0.43
176R_179F,0.91
204R_200F,0.73
223R_222F,0.84
172R_178F,0.11
197R_199F,-0.16
203R_198F,0.35
218R_220F,0.74
219R_221F,0.12
10R_9F,-2.74
13R_12F,-2.56
17R_16F,-2.62
99R_100F,-0.3
174R_175F,-0.18
202R_203F,-0.35
227R_218F,0.18
176R_174F,0.48
204R_202F,0.33
223R_227F,0.48
163R_161F,-2.62
160R_156F,-1.55
173R_172F,-0.32
164R_162F,-0.48
177R_180F,0.33
205R_201F,0.27
224R_225F,0.57
77R_73F,-0.5
180R_175F,-0.48
201R_203F,-0.48
225R_218F,-0.07
4R_1F,0.07
27R_26F,-2.11
163R_162F,-2.02
200R_198F,-0.27
222R_220F,0.31
113R_116F,-0.77
198R_199F,0.08
220R_221F,0.48
324R_325F,-0.3
165R_163F,0.0
141R_142F,0.17
114R_116F,-1.89
161R_163F,-0.16
173R_179F,0.41
160R_155F,-0.67
77R_74F,-1.29
148R_147F,-0.98
172R_180F,-0.04
197R_201F,-0.23
219R_225F,0.03
198R_201F,-0.24
220R_225F,0.08
199R_198F,-0.46
204R_198F,0.73
221R_220F,-0.01
223R_220F,0.9
173R_176F,0.05
77R_75F,-0.33
172R_177F,0.05
197R_205F,-0.22
219R_224F,0.05
198R_205F,-0.38
220R_224F,-0.03
162R_161F,-1.08
164R_163F,0.39
116R_113F,-2.28
157R_156F,-3.08
198R_197F,-1.09
220R_219F,-0.63
173R_174F,0.18
156R_160F,-0.84
172R_173F,-0.45
197R_206F,-0.58
157R_160F,-2.36
198R_206F,-0.51
177R_171F,0.19
205R_196F,0.17
224R_217F,0.54
56R_55F,-1.06
1F,0.12
2F,0.03
3F,0.09
4F,-0.09
18F,-1.6
19F,-0.22
20F,-1.35
36R,-0.76
41R,-0.91
42R,-0.2
43R,-0.7
52F,-2.16
52R,-1.14
53F,-1.87
53R,-0.41
54F,-0.93
54R,-1.18
55F,-0.46
56F,-0.53
57F,-2.54
57R,0.3
58F,-0.1
58R,-0.32
59F,-0.11
59R,-0.12
60F,0.2
60R,-0.08
61F,-2.45
61R,0.45
62F,-0.75
63F,-2.58
63R,-0.27
64F,0.03
64R,0.19
65F,-0.57
65R,-0.52
66F,0.09
67F,-1.06
67R,-1.03
68F,-0.58
68R,-0.68
69F,0.41
69R,-0.08
70F,0.66
70R,-0.77
71F,0.69
71R,-1.11
72F,0.18
72R,-0.18
73F,0.26
73R,0.06
74F,-0.36
74R,-0.57
75F,0.48
75R,-0.23
76F,0.12
76R,0.44
77F,0.62
78F,0.24
78R,-0.98
79F,0.42
79R,0.15
80F,0.65
80R,-0.74
81F,-2.38
81R,0.21
82F,0.06
82R,-0.75
83F,-0.48
83R,-0.17
84F,-1.79
84R,0.34
85F,-0.29
86F,-2.45
86R,0.03
87F,-1.42
88F,-1.01
88R,-0.42
89F,-0.69
89R,0.17
90F,-1.38
90R,-0.53
91F,-0.87
91R,0.4
92F,-0.32
92R,0.09
93F,-0.31
93R,-0.71
94F,-0.54
95F,-1.96
95R,-0.63
96F,-0.59
96R,-1.12
97F,-0.63
97R,-0.06
98F,-1.36
98R,-0.51
99F,-2.87
100F,-1.44
101F,-0.91
102F,-0.15
102R,0.04
103F,-3.38
103R,-0.57
104F,-0.93
105F,-1.71
105R,-0.26
106F,-0.78
107F,-0.19
108F,-1.5
108R,-0.56
109F,-3.06
110F,-0.86
111F,-0.25
111R,-0.09
112F,-0.22
112R,0.19
113F,-1.64
114F,-0.76
115F,-1.93
115R,-1.53
116F,-1.0
117F,-3.74
117R,-0.38
118F,-1.57
118R,-0.55
119F,-1.42
119R,-0.88
120F,-1.24
120R,-0.96
121F,-1.97
121R,-0.74
122F,-2.44
122R,-0.82
123F,-1.29
124F,-0.78
125F,-1.48
126F,-0.74
126R,-1.01
127F,-1.63
127R,-0.13
128F,-0.2
129F,-0.74
130F,-0.49
131F,0.2
132F,-0.02
133F,0.2
133R,-0.35
134F,-1.36
134R,0.59
135F,0.09
135R,0.58
136F,0.16
136R,0.67
137F,-1.47
137R,0.3
138F,-0.32
138R,0.0
139F,-0.82
140F,0.97
140R,-1.89
141F,-2.82
142F,-0.78
143F,-0.25
143R,-0.88
144F,-1.51
144R,0.33
145F,-0.43
146F,-1.12
147F,-0.49
148F,-0.82
149F,-0.99
149R,-0.72
150F,-0.82
151F,-0.84
152F,-0.39
152R,0.01
153F,0.35
153R,0.21
154F,-2.26
154R,-0.58
155F,-1.67
156F,-2.72
157F,-0.16
158F,-0.92
159F,-1.94
159R,-0.88
160F,-2.09
161F,-1.43
162F,-0.86
163F,-0.4
164F,-1.11
165F,-0.77
166F,-2.68
166R,-0.48
167F,-0.55
167R,-1.65
168F,-0.46
168R,-1.13
169F,-0.7
169R,-1.24
170F,-1.47
170R,-1.21
171F,-0.36
171R,0.38
172F,-1.16
173F,-0.74
174F,-0.68
175F,-0.69
176F,-0.86
177F,-0.31
178F,-0.15
179F,-0.23
180F,-0.67
181F,-0.38
181R,-0.64
182F,-1.84
182R,0.1
183F,-0.38
183R,0.03
184F,-0.29
184R,-0.17
185F,0.02
185R,-0.23
186F,0.31
186R,-0.61
187F,-0.85
187R,-0.69
188F,-2.79
188R,0.74
189F,-2.62
189R,0.38
190F,-1.11
190R,0.7
191F,-1.85
191R,-0.02
192F,-2.57
192R,-0.03
193F,-1.05
193R,-0.03
194F,-0.3
194R,-0.54
195F,-1.51
195R,-0.23
196F,-0.25
196R,0.14
197F,-0.78
198F,0.15
199F,-0.08
200F,0.01
201F,-0.38
202F,-0.43
203F,-0.43
204F,-0.44
205F,-0.18
206F,-0.46
206R,-0.12
207F,-1.0
207R,-0.66
208F,-2.59
208R,0.3
209F,-0.8
209R,0.14
210F,-0.27
210R,-1.14
211F,-1.34
211R,0.0
212F,-0.88
212R,-0.35
213F,-0.61
213R,-0.23
214F,-0.77
214R,-0.18
215F,-1.84
215R,0.14
216F,-0.66
216R,0.37
217F,0.24
217R,0.22
218F,0.01
219F,-0.21
220F,0.71
221F,0.45
222F,0.4
223F,-0.08
224F,0.35
225F,0.02
226F,0.2
226R,-0.1
227F,-0.06
228F,-1.11
228R,-0.31
229F,-0.32
229R,-0.54
230F,-1.36
230R,-0.12
231F,-0.85
231R,0.31
235F,-1.34
235R,-1.4
236F,-2.12
236R,-1.2
237F,-1.58
237R,-0.85
238F,-0.75
238R,-1.15
239F,-0.13
239R,-0.47
240F,0.28
240R,-1.29
241F,-1.7
241R,-0.25
242F,-2.33
242R,-0.68
243F,-1.62
243R,-0.77
244F,-0.49
244R,-0.62
245F,-1.29
246F,-0.21
246R,-0.16
247F,0.37
247R,0.03
248F,-0.63
248R,-1.41
249F,0.08
249R,-1.0
250F,-0.75
250R,-1.56
251F,0.4
251R,-0.63
252F,-0.35
253F,-0.57
254F,-1.31
255F,-1.38
256F,-0.49
257F,-1.23
258F,-1.91
259F,-1.3
260F,-1.67
261F,-1.42
262F,-1.42
263F,-1.46
264F,-0.82
265F,-0.38
266F,-0.81
267F,-0.99
267R,-2.82
268F,-0.5
268R,-0.41
269F,-0.55
269R,-0.27
270F,-1.38
270R,-0.15
271F,0.36
271R,-0.6
272F,-0.08
272R,0.7
273F,0.32
273R,0.39
274F,-0.14
274R,0.63
275F,0.22
275R,0.16
276F,-0.39
276R,-1.19
277F,-0.02
277R,0.1
278F,-0.43
278R,0.44
279F,-0.89
279R,-0.21
280F,0.4
280R,0.14
281F,0.18
281R,-0.49
282F,-0.55
282R,0.45
283F,0.08
283R,0.02
284F,-0.42
284R,0.53
285F,-2.88
285R,-0.24
286F,0.03
286R,-0.1
287F,0.47
287R,0.23
288F,-0.33
288R,-0.25
289F,-2.08
289R,-0.69
290F,-1.43
290R,-0.66
291F,-0.58
291R,0.2
292F,-1.1
292R,-0.66
293F,-1.08
293R,-0.6
294F,-1.15
294R,0.04
295F,-1.25
295R,0.15
296F,-1.24
296R,0.29
297F,-0.7
297R,-0.68
298F,-1.86
298R,-0.63
299F,-1.67
299R,-0.0
300F,-1.24
300R,-0.71
301F,-1.09
301R,-1.05
302F,-0.99
302R,0.09
303F,-0.86
303R,-0.08
304F,-0.97
304R,-0.12
305F,-1.17
305R,-0.52
306F,0.12
306R,-0.76
307F,-0.14
307R,-0.41
308F,-0.48
309F,0.01
310F,-0.11
311F,-0.1
312F,-0.01
312R,-0.87
313F,0.65
313R,-1.28
314F,-0.18
314R,-0.21
315F,0.46
315R,-1.06
316F,0.61
316R,-0.64
317F,-0.8
317R,-0.82
318F,0.26
318R,-0.33
319F,-0.13
319R,-0.71
320F,0.57
320R,0.03
321F,0.96
321R,-0.64
322F,0.67
322R,-0.44
323F,0.39
323R,-0.59
324F,-0.73
325F,-0.61
326F,-0.41
326R,-0.27
327F,-1.3
328F,-0.98
328R,0.37
329F,-1.45
330F,-0.93
331F,-0.89
332F,-0.96
333F,-0.81
333R,-0.76
334F,-0.42
334R,-0.7
335F,-1.2
336F,-0.73
337F,-0.56
338F,-2.47
338R,-0.83
339F,-1.95
339R,-0.81
340F,-3.03
340R,-0.96
341F,-2.67
341R,-1.13
342F,-2.6
342R,-0.77
190R_189F,-1.06
91R_88F,-0.18
302R_293F,-0.38
283R_278F,-0.08
119R_118F,-1.85
76R_77F,0.97
78R_77F,-0.2
168R_167F,-0.89
89R_90F,-0.6
295R_298F,-0.61
92R_93F,0.31
295R_297F,0.33
297R_299F,-1.32
166R_167F,-0.06
71R_78F,-0.8
118R_121F,-1.44
192R_193F,-0.18
43R_42F,-0.99
316R_315F,-0.1
281R_278F,-0.97
322R_323F,-0.17
303R_302F,-0.42
76R_74F,-0.2
78R_74F,-1.55
70R_76F,-0.74
75R_70F,0.41
170R_167F,-0.08
88R_89F,-0.74
72R_78F,0.17
305R_296F,-1.14
281R_284F,-0.76
117R_119F,-0.39
296R_303F,0.13
78R_75F,-0.38
89R_92F,-0.07
295R_304F,-0.21
75R_79F,0.06
80R_79F,-0.32
91R_90F,-0.62
293R_296F,-0.93
79R_70F,0.18
206R_198F,-0.09
80R_70F,0.3
282R_280F,0.54
121R_119F,-0.47
294R_298F,-1.05
279R_283F,-0.01
294R_304F,-0.54
168R_170F,-1.53
301R_293F,-1.22
73R_77F,0.78
302R_303F,-0.1
71R_72F,-1.06
244R_241F,-1.48
284R_281F,0.84
119R_120F,-1.67
73R_75F,0.5
90R_89F,-0.98
70R_74F,-1.42
74R_79F,-0.23
171R_176F,-0.24
196R_204F,-0.29
217R_223F,-0.03
171R_175F,-0.1
196R_203F,-0.2
217R_218F,0.05
323R_322F,-0.25
193R_191F,-1.21
209R_208F,-1.34
216R_215F,-0.62
235R_237F,-1.82
71R_80F,-0.41
53R_54F,-0.4
91R_92F,0.04
278R_281F,0.77
300R_296F,-0.89
78R_76F,-1.05
318R_319F,-0.65
89R_88F,-0.19
89R_91F,-0.59
135R_136F,0.3
304R_297F,0.04
72R_80F,0.54
120R_121F,-1.54
206R_203F,-0.24
70R_79F,-0.68
282R_278F,0.28
303R_300F,-0.24
169R_170F,-1.52
303R_305F,-0.21
74R_70F,0.21
280R_283F,-0.1
283R_281F,0.25
270R_269F,-0.27
88R_93F,0.19
293R_305F,-0.46
293R_301F,-0.45
297R_295F,-1.12
268R_270F,-1.2
299R_295F,-0.45
75R_78F,0.04
79R_78F,-0.08
80R_78F,-0.52
304R_295F,-0.62
284R_279F,-0.25
279R_280F,-0.08
305R_301F,-0.47
75R_73F,-0.05
71R_73F,-0.96
72R_71F,0.59
59R_58F,-0.41
73R_71F,0.89
93R_88F,-0.79
305R_293F,-0.64
323R_321F,-0.14
74R_76F,-0.58
182R_183F,0.18
188R_190F,0.38
191R_193F,-0.16
208R_209F,0.35
215R_216F,-0.03
296R_302F,-0.06
121R_118F,-1.57
236R_237F,-1.45
236R_235F,-1.13
71R_77F,-0.33
79R_73F,-0.04
282R_284F,0.27
80R_73F,-0.65
90R_93F,-0.25
283R_284F,0.03
300R_305F,-0.19
300R_301F,0.05
196R_198F,0.05
217R_220F,0.32
295R_299F,-0.38
241R_244F,-0.07
192R_191F,-0.7
278R_279F,0.02
71R_74F,-1.67
118R_120F,-0.75
36R_35F,-0.36
73R_76F,-0.07
76R_70F,1.4
237R_235F,-1.47
74R_78F,-0.26
70R_78F,-0.63
72R_73F,-0.12
283R_282F,-0.26
303R_296F,-0.57
92R_88F,-0.35
93R_90F,-1.8
166R_170F,-0.48
278R_282F,0.29
118R_117F,-2.68
293R_303F,-0.56
71R_75F,-0.66
120R_118F,-1.35
76R_79F,0.7
78R_79F,-0.55
283R_279F,-0.63
72R_77F,0.59
78R_70F,-0.06
170R_168F,-0.44
88R_90F,-1.21
305R_303F,-0.73
284R_283F,0.82
75R_72F,-0.14
79R_72F,-0.25
80R_72F,-0.78
72R_75F,0.17
88R_92F,-0.55
294R_299F,-0.76
117R_121F,-0.44
133R_134F,-1.52
143R_144F,-2.16
54R_53F,-3.0
168R_166F,-2.82
279R_278F,-0.67
281R_279F,-1.27
189R_190F,-0.2
318R_320F,-0.15
72R_74F,-0.56
168R_169F,-0.96
73R_74F,-0.38
75R_80F,0.36
59R_60F,0.05
79R_80F,0.15
75R_71F,0.4
93R_92F,-1.18
60R_58F,-0.4
79R_71F,0.1
80R_71F,0.03
281R_282F,-0.9
296R_300F,0.15
169R_166F,-2.47
206R_196F,-0.31
313R_312F,-1.04
121R_117F,-2.35
92R_90F,-0.83
304R_298F,-1.14
279R_284F,-0.39
280R_284F,-0.43
296R_305F,0.15
301R_302F,-1.07
243R_241F,-1.17
280R_278F,-0.59
71R_76F,-1.2
42R_43F,-1.22
278R_283F,0.7
134R_133F,1.06
144R_143F,0.55
295R_294F,-0.33
169R_168F,-0.9
206R_199F,-0.06
282R_281F,0.64
304R_299F,-0.84
171R_180F,0.12
196R_201F,0.03
217R_225F,0.26
73R_79F,0.45
302R_300F,0.28
60R_59F,-0.12
167R_170F,-1.26
91R_93F,0.65
302R_305F,0.05
73R_70F,0.8
193R_192F,-1.94
300R_303F,-0.63
321R_322F,-0.32
74R_72F,-0.46
70R_72F,-0.77
319R_318F,-0.39
171R_177F,0.24
196R_205F,0.04
217R_224F,0.35
76R_78F,0.6
235R_236F,-1.58
171R_172F,-0.51
196R_197F,-0.63
217R_219F,-0.16
284R_282F,0.05
118R_119F,-0.65
284R_280F,0.62
120R_117F,-2.66
303R_301F,-0.06
90R_92F,-0.93
58R_60F,-0.21
298R_304F,-1.12
74R_80F,0.16
70R_80F,0.23
294R_295F,-0.67
322R_321F,0.11
303R_293F,-0.18
72R_76F,-0.17
75R_77F,0.28
79R_77F,0.32
80R_77F,-0.54
269R_270F,-1.15
297R_298F,-1.56
299R_298F,-0.69
281R_283F,-0.15
88R_91F,-0.95
293R_302F,-0.82
299R_297F,0.17
206R_205F,-0.1
297R_304F,-1.08
299R_304F,-0.36
117R_118F,-0.69
298R_297F,-0.42
298R_295F,-1.2
93R_91F,-1.48
305R_302F,-0.98
75R_74F,-0.51
90R_88F,-0.82
79R_74F,-0.81
93R_89F,-1.21
80R_74F,-1.25
91R_89F,-0.16
136R_135F,0.3
237R_236F,-1.67
206R_201F,-0.01
243R_244F,-0.73
301R_300F,-0.79
312R_313F,-0.17
294R_297F,0.02
92R_91F,-0.48
278R_280F,0.63
279R_281F,0.06
79R_75F,0.18
80R_75F,-0.31
73R_78F,0.32
74R_73F,-0.24
183R_182F,-1.05
190R_188F,-1.06
302R_296F,-0.38
206R_197F,-0.62
282R_279F,-0.19
300R_293F,-0.93
320R_318F,0.22
90R_91F,-1.11
241R_243F,-0.42
304R_294F,-0.64
71R_79F,-1.08
119R_121F,-1.35
298R_294F,-0.99
74R_77F,0.08
70R_77F,-0.25
71R_70F,-0.33
244R_243F,-1.46
283R_280F,-0.01
171R_179F,0.27
196R_200F,0.24
217R_222F,0.39
76R_72F,0.34
70R_73F,-0.56
119R_117F,-3.35
78R_72F,-0.8
89R_93F,0.35
301R_305F,-0.79
269R_268F,-0.39
166R_168F,-0.23
74R_75F,0.0
92R_89F,-0.29
171R_178F,0.25
70R_75F,-0.4
196R_199F,0.06
217R_221F,0.35
280R_281F,0.38
170R_169F,-0.84
171R_174F,-0.11
196R_202F,-0.16
217R_227F,0.02
72R_79F,0.11
284R_278F,0.22
305R_300F,-0.3
270R_268F,0.07
120R_119F,-1.22
58R_59F,-0.36
321R_323F,-0.4
300R_302F,-0.63
117R_120F,-0.37
76R_80F,1.04
78R_80F,-0.15
76R_71F,1.11
169R_167F,-1.07
78R_71F,0.07
170R_166F,-1.95
334R_333F,-1.13
166R_169F,-0.18
75R_76F,-0.4
167R_166F,-2.95
293R_300F,-0.59
206R_200F,0.07
282R_283F,0.58
121R_120F,-1.09
191R_192F,-1.41
189R_188F,-1.02
297R_294F,-1.06
72R_70F,0.57
167R_168F,-0.68
281R_280F,-0.37
315R_316F,-0.54
268R_269F,-0.59
298R_299F,-1.3
79R_76F,-0.24
206R_204F,-0.25
80R_76F,-0.87
296R_301F,0.4
320R_319F,-0.23
319R_320F,-0.42
296R_293F,0.12
280R_279F,-1.1
36R_34F,-0.29
73R_72F,-0.17
167R_169F,-1.53
76R_73F,0.54
78R_73F,-0.66
206R_202F,-0.17
188R_189F,-0.55
74R_71F,0.26
76R_75F,0.72
70R_71F,0.23
279R_282F,-0.76
171R_173F,0.07
196R_206F,0.05
280R_282F,-0.65
301R_296F,-1.24
301R_303F,-0.87
278R_284F,0.36
302R_301F,0.23
73R_80F,0.73
299R_294F,-0.3
