id,ddG_DynaMut2,url
20F,0.3,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658652211
20R,-1.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658654993
21F,-0.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658657635
21R,-0.31,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658660188
22F,-0.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658662902
22R,-1.7,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658665552
23F,-0.71,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658668655
23R,-2.0,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658671339
24F,-0.97,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658673994
24R,-1.13,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658676658
25F,-0.39,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658679401
25R,-1.44,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658682044
26F,-0.65,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658684695
26R,-0.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658687429
27F,0.67,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658690387
27R,-2.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658693442
28F,-0.43,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658696113
28R,-0.62,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265869913
29F,0.09,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658701769
29R,-1.78,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658704412
30F,-0.13,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658707407
30R,-0.98,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658710105
31F,0.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658712761
31R,-0.75,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658715633
32F,-1.89,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658718247
32R,-0.5,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658720993
33F,-0.29,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658723714
33R,-2.36,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658726336
34F,-0.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265872915
34R,-1.09,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658731802
35F,-0.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658734613
35R,-2.18,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265873766
36F,-2.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658740313
36R,-0.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658743161
37F,-0.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658746009
37R,-0.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658748933
38F,-1.37,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658751572
38R,-0.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658754494
39F,-0.32,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658757524
39R,-0.31,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658760177
40F,-1.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658762877
40R,-0.88,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658765843
41F,-0.19,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658768729
41R,-0.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658771595
42F,-0.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658774699
42R,0.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658777358
43F,-1.15,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658780198
43R,0.09,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658782743
44F,0.04,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658785303
44R,0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658787966
45F,-0.72,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658790663
45R,-1.03,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658793205
46F,-0.82,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658795854
46R,-0.53,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265879852
47F,-0.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658801169
47R,-1.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658804056
48F,-0.23,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265880660
48R,-1.26,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658809245
49F,-0.8,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658811789
49R,0.29,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658815922
50F,0.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658818834
50R,-0.56,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658822738
51F,-0.84,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658825626
51R,-0.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658829362
52F,-2.64,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658832019
52R,-1.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658834661
53F,-2.5,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658837335
53R,0.3,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265884111
54F,-1.7,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265884543
54R,-1.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658848893
55F,-0.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658851865
55R,-0.39,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658854765
56F,-0.76,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658858938
56R,-0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658862729
57F,-2.14,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658865767
57R,1.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658868532
58F,-0.87,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658872407
58R,-0.62,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658875085
59F,-0.91,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658877959
59R,-0.37,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658880836
60F,-0.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658883701
60R,0.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658887498
61F,-3.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658891499
61R,0.27,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658894348
62F,-1.63,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658898302
62R,-1.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658902108
63F,-2.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658906155
63R,0.82,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658909028
64F,0.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658912135
64R,0.11,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658915915
65F,-0.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658918581
65R,-1.04,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658921462
66F,-1.16,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658924367
66R,-1.82,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658927279
67F,-0.9,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658929941
67R,-0.83,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658932621
68F,-0.38,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658936548
68R,-1.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658939224
69F,-0.16,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658941955
69R,-0.5,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658945965
70F,-0.16,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658948727
70R,-0.3,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658952409
71F,-0.26,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658955096
71R,-0.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658957747
72F,-0.35,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658961774
72R,-0.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265896466
73F,-0.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265896738
73R,-0.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658969994
74F,-0.4,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658972765
74R,-0.58,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658975833
75F,-0.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658978525
75R,-0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265898130
76F,-0.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658983945
76R,0.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658986704
77F,-0.87,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658990725
77R,-0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658994871
78F,-0.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162658997609
78R,-0.83,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659001615
79F,-0.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659005394
79R,-0.18,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659008383
80F,-0.17,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659011053
80R,0.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659014854
81F,-3.18,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659017616
81R,-0.16,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659021428
82F,-0.57,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659024263
82R,-0.83,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659028068
83F,-0.18,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265903089
83R,-0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659034705
84F,-1.55,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659037524
84R,-0.59,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659040567
85F,-0.29,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659043255
85R,-0.57,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659046223
86F,-1.87,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659049258
86R,-0.36,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265905319
87F,-1.96,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659056056
87R,-1.04,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659059804
88F,-0.23,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659062908
88R,-0.54,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659065621
89F,0.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659068304
89R,-0.31,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659072289
90F,0.11,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659076084
90R,-0.55,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659078705
91F,-0.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265908176
91R,0.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659084806
92F,-0.38,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659087612
92R,-0.15,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659090319
93F,-0.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265909410
93R,-0.69,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659096833
94F,-0.04,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659099831
94R,-1.03,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659102641
95F,-2.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659105599
95R,-1.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659109385
96F,-0.17,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659112455
96R,-0.67,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659115419
97F,0.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659118158
97R,-0.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659122116
98F,-1.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265912507
98R,-0.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659128231
99F,-3.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659132057
99R,0.32,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659134934
100F,-1.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659137691
100R,-0.67,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659141495
101F,-1.21,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659144166
101R,-0.69,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659148171
102F,-0.02,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659152155
102R,-0.14,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659154838
103F,-3.53,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659157521
103R,-0.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659161307
104F,-1.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659164334
104R,-0.98,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659168139
105F,-2.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659172018
105R,-0.64,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659176327
106F,-0.65,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659179339
106R,-0.96,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659183162
107F,-0.96,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659186324
107R,-1.33,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659190013
108F,-2.81,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659193824
108R,-0.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659196708
109F,-2.69,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659199637
109R,-0.29,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659202588
110F,-0.4,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659205402
110R,-0.92,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265920854
111F,-0.42,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659211675
111R,0.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659215557
112F,0.38,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659218206
112R,-0.09,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265922104
113F,-1.6,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659223691
113R,-1.63,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659226613
114F,0.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265923048
114R,-3.07,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659233148
115F,-1.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659236136
115R,-1.26,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659239918
116F,-0.55,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659243767
116R,-2.52,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659247628
117F,-3.75,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659251468
117R,0.86,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659255199
118F,-2.15,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659258902
118R,0.29,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659262756
119F,-1.47,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659266656
119R,-1.73,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659269458
120F,-1.7,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659272129
120R,-1.35,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265927591
121F,-2.28,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659279667
121R,-0.36,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659283491
122F,-3.62,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659287292
122R,0.15,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659290955
123F,-1.72,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659294676
123R,-2.14,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659298353
124F,-1.3,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659302066
124R,-0.93,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659306036
125F,-1.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659309899
125R,-1.47,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659313585
126F,-0.63,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659317589
126R,-1.71,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659321437
127F,-2.35,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659324647
127R,-0.8,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659327555
128F,-1.14,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659331517
128R,-1.44,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659335328
129F,-1.4,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659338239
129R,-1.08,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659342275
130F,-0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659345223
130R,-1.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659349387
131F,1.11,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659352536
131R,0.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265935531
132F,-1.8,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659358324
132R,-0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265936238
133F,-1.92,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659366511
133R,0.01,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265937074
134F,-0.69,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659374683
134R,0.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659377577
135F,0.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659381542
135R,0.78,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659384139
136F,-0.11,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659387025
136R,0.5,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659391033
137F,-2.2,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659393902
137R,-0.9,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659396656
138F,-0.56,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659399515
138R,-1.82,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659403316
139F,-0.35,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659407326
139R,-0.89,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659411003
140F,-1.11,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659414961
140R,-3.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659417856
141F,-2.79,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659420722
141R,-0.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659424442
142F,-1.42,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659427322
142R,-1.73,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265943032
143F,-0.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659434356
143R,-1.44,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659437211
144F,-0.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659440073
144R,0.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659443426
145F,-0.48,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659446499
145R,-1.89,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659449341
146F,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265945246
146R,-0.94,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659455529
147F,-1.26,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265945835
147R,-3.4,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659461221
148F,-1.55,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659464478
148R,-3.82,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659467961
149F,-1.39,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659471043
149R,-0.34,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659474095
150F,-1.7,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659476933
150R,0.57,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659479886
151F,0.51,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659482905
151R,-0.32,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659487161
152F,-1.49,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659490123
152R,-1.0,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659493264
153F,0.05,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659496262
153R,-0.46,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659499597
154F,-2.14,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659502731
154R,0.27,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659506425
155F,-1.93,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659509437
155R,-1.66,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659512594
156F,-3.32,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265951567
156R,0.94,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659519804
157F,-0.74,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659523241
157R,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659526333
158F,-0.59,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659529402
158R,-2.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659532559
159F,-2.43,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659536843
159R,-0.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659539654
160F,-3.42,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659544109
160R,0.4,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659547252
161F,-0.99,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659550078
161R,-1.65,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659553018
162F,-0.47,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659556996
162R,-1.43,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659559887
163F,-1.4,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659563829
163R,-3.41,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659566735
164F,-2.06,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659569882
164R,-1.24,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659573914
165F,-1.42,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659576833
165R,-2.55,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659579979
166F,-2.12,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659584068
166R,-1.25,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659587127
167F,0.71,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659590232
167R,-2.6,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659594645
168F,0.45,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265959785
168R,-2.04,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659600954
169F,0.43,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659604025
169R,-0.71,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265960704
170F,-1.61,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659610402
170R,-1.58,http://biosig.unimelb.edu.au/dynamut2/results_prediction/16265961355
171F,-0.57,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659616652
171R,-0.71,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659619591
172F,-1.22,http://biosig.unimelb.edu.au/dynamut2/results_prediction/162659622924
