LL000884_R,LL000881_F,LL000884_R_+_LL000881_F
LL000918_R,LL000915_F,LL000918_R_+_LL000915_F
LL001045_R,LL001042_F,LL001045_R_+_LL001042_F
LL001079_R,LL001076_F,LL001079_R_+_LL001076_F
LL001101_R,LL001098_F,LL001101_R_+_LL001098_F
LL001119_R,LL001116_F,LL001119_R_+_LL001116_F
PT000754_PT013384_R,PT000757_PT013387_F,PT000754_PT013384_R_+_PT000757_PT013387_F
PT000772_PT013398_R,PT000775_PT013401_F,PT000772_PT013398_R_+_PT000775_PT013401_F
PT001689_VB01425_VB01906_R,PT001686_VB01420_VB01903_F,PT001689_VB01425_VB01906_R_+_PT001686_VB01420_VB01903_F
VB00712_R,VB03355_F,VB00712_R_+_VB03355_F
VB04620_R,VB04616_F,VB04620_R_+_VB04616_F
PT025025_PT025048_R,PT025026_PT025049_F,PT025025_PT025048_R_+_PT025026_PT025049_F
PT025072_PT025095_R,PT025073_PT025096_F,PT025072_PT025095_R_+_PT025073_PT025096_F
LL001275_R,LL001268_F,LL001275_R_+_LL001268_F
LL001305_R,LL001298_F,LL001305_R_+_LL001298_F
LL001543_R,LL001536_F,LL001543_R_+_LL001536_F
LL001587_R,LL001580_F,LL001587_R_+_LL001580_F
LL000770_R,LL001609_F,LL000770_R_+_LL001609_F
PT001312_PT013670_R,PT001302_PT001384_PT013660_PT013715_F,PT001312_PT013670_R_+_PT001302_PT001384_PT013660_PT013715_F
LL001310_R,LL000999_F,LL001310_R_+_LL000999_F
LL001333_R,LL000988_F,LL001333_R_+_LL000988_F
LL001592_R,LL000788_F,LL001592_R_+_LL000788_F
PT001327_PT013684_R,PT001317_PT013674_F,PT001327_PT013684_R_+_PT001317_PT013674_F
PT018601_R,PT018596_VB03483_F,PT018601_R_+_PT018596_VB03483_F
PT018616_VB03541_R,PT014404_PT018619_VB03544_VB03626_F,PT018616_VB03541_R_+_PT014404_PT018619_VB03544_VB03626_F
VB05329_R,VB05331_F,VB05329_R_+_VB05331_F
LL000763_R,LL000768_F,LL000763_R_+_LL000768_F
LL000777_R,LL000782_F,LL000777_R_+_LL000782_F
LL000821_R,LL000826_F,LL000821_R_+_LL000826_F
LL001167_R,LL001156_F,LL001167_R_+_LL001156_F
LL001266_R,LL001255_F,LL001266_R_+_LL001255_F
LL000414_R,LL000413_F,LL000414_R_+_LL000413_F
LL000796_R,LL000793_F,LL000796_R_+_LL000793_F
LL000837_R,LL000834_F,LL000837_R_+_LL000834_F
LL001007_R,LL001004_F,LL001007_R_+_LL001004_F
LL001028_R,LL001025_F,LL001028_R_+_LL001025_F
LL001411_R,LL001400_F,LL001411_R_+_LL001400_F
LL001513_R,LL001502_F,LL001513_R_+_LL001502_F
LL001534_R,LL001523_F,LL001534_R_+_LL001523_F
PT001449_PT013772_R,PT001448_PT013771_F,PT001449_PT013772_R_+_PT001448_PT013771_F
PT003123_PT009209_PT009227_PT022565_PT022663_VB02167_VB03631_VB04037_R,PT002028_PT008674_VB02165_F,PT003123_PT009209_PT009227_PT022565_PT022663_VB02167_VB03631_VB04037_R_+_PT002028_PT008674_VB02165_F
PT018596_VB03483_R,PT018593_VB03480_F,PT018596_VB03483_R_+_PT018593_VB03480_F
LL001105_R,LL001114_F,LL001105_R_+_LL001114_F
PT002086_PT002490_PT022588_PT022686_VB02269_R,PT022596_PT022694_F,PT002086_PT002490_PT022588_PT022686_VB02269_R_+_PT022596_PT022694_F
PT011416_PT011431_VB04303_R,PT011414_PT011429_VB04302_F,PT011416_PT011431_VB04303_R_+_PT011414_PT011429_VB04302_F
LL001180_R,LL001186_F,LL001180_R_+_LL001186_F
LL001379_R,LL001385_F,LL001379_R_+_LL001385_F
LL001232_R,LL001228_F,LL001232_R_+_LL001228_F
LL001248_R,LL001244_F,LL001248_R_+_LL001244_F
LL001294_R,LL001290_F,LL001294_R_+_LL001290_F
LL001331_R,LL001327_F,LL001331_R_+_LL001327_F
LL001479_R,LL001475_F,LL001479_R_+_LL001475_F
PT000232_PT013267_R,PT000218_PT013253_F,PT000232_PT013267_R_+_PT000218_PT013253_F
PT000686_PT013357_VB04577_R,PT000683_PT013354_F,PT000686_PT013357_VB04577_R_+_PT000683_PT013354_F
PT000697_PT013367_R,PT000694_PT013364_F,PT000697_PT013367_R_+_PT000694_PT013364_F
PT010972_PT010978_R,PT010971_PT010977_F,PT010972_PT010978_R_+_PT010971_PT010977_F
VB03373_R,VB03370_F,VB03373_R_+_VB03370_F
PT001682_VB01427_VB01907_R,PT001979_PT010000_VB01905_F,PT001682_VB01427_VB01907_R_+_PT001979_PT010000_VB01905_F
VB04621_R,VB04619_F,VB04621_R_+_VB04619_F
PT001591_PT002492_VB02321_VB05777_R,PT001592_PT012690_VB02323_F,PT001591_PT002492_VB02321_VB05777_R_+_PT001592_PT012690_VB02323_F
PT001593_PT002869_R,PT001594_PT002870_VB02331_F,PT001593_PT002869_R_+_PT001594_PT002870_VB02331_F
PT001595_VB02418_R,PT001596_VB02420_F,PT001595_VB02418_R_+_PT001596_VB02420_F
PT001597_VB02485_R,PT001598_VB02487_F,PT001597_VB02485_R_+_PT001598_VB02487_F
PT001599_VB02512_R,PT001600_VB02514_F,PT001599_VB02512_R_+_PT001600_VB02514_F
PT001601_VB02530_R,PT001602_VB02532_F,PT001601_VB02530_R_+_PT001602_VB02532_F
PT001603_R,PT001604_F,PT001603_R_+_PT001604_F
PT001696_PT005087_VB01915_R,PT000060_PT001695_PT009984_VB01296_VB01297_F,PT001696_PT005087_VB01915_R_+_PT000060_PT001695_PT009984_VB01296_VB01297_F
PT003324_PT003357_VB00828_R,PT015402_VB01295_F,PT003324_PT003357_VB00828_R_+_PT015402_VB01295_F
PT011139_PT011140_VB00350_VB00893_R,PT011141_PT011142_VB00894_F,PT011139_PT011140_VB00350_VB00893_R_+_PT011141_PT011142_VB00894_F
LL001174_R,LL001184_F,LL001174_R_+_LL001184_F
LL001373_R,LL001383_F,LL001373_R_+_LL001383_F
VB01850_VB03881_R,PT004028_VB01851_VB03880_F,VB01850_VB03881_R_+_PT004028_VB01851_VB03880_F
LL000731_R,LL000724_F,LL000731_R_+_LL000724_F
LL000812_R,LL000805_F,LL000812_R_+_LL000805_F
LL000848_R,LL000841_F,LL000848_R_+_LL000841_F
LL000863_R,LL000856_F,LL000863_R_+_LL000856_F
LL000878_R,LL000871_F,LL000878_R_+_LL000871_F
PT003015_PT011850_VB03941_R,PT002984_PT003022_PT011857_VB02849_VB03934_F,PT003015_PT011850_VB03941_R_+_PT002984_PT003022_PT011857_VB02849_VB03934_F
PT010851_VB03215_R,PT010846_VB03212_F,PT010851_VB03215_R_+_PT010846_VB03212_F
LL001204_R,LL001216_F,LL001204_R_+_LL001216_F
LL001343_R,LL001355_F,LL001343_R_+_LL001355_F
LL001415_R,LL001427_F,LL001415_R_+_LL001427_F
LL001434_R,LL001446_F,LL001434_R_+_LL001446_F
LL001451_R,LL001463_F,LL001451_R_+_LL001463_F
LL001485_R,LL001497_F,LL001485_R_+_LL001497_F
PT000139_PT013213_R,PT000126_PT013200_F,PT000139_PT013213_R_+_PT000126_PT013200_F
PT000186_PT005088_VB01222_VB01923_R,PT000185_VB01241_VB01930_F,PT000186_PT005088_VB01222_VB01923_R_+_PT000185_VB01241_VB01930_F
PT001988_VB02084_VB02397_R,PT001989_VB02085_VB02398_F,PT001988_VB02084_VB02397_R_+_PT001989_VB02085_VB02398_F
PT001990_VB02104_R,PT001991_VB02105_F,PT001990_VB02104_R_+_PT001991_VB02105_F
LL000839_R,LL001533_F,LL000839_R_+_LL001533_F
LL000886_R,LL001512_F,LL000886_R_+_LL001512_F
LL000920_R,LL001410_F,LL000920_R_+_LL001410_F
LL001030_R,LL001265_F,LL001030_R_+_LL001265_F
LL001152_R,LL001166_F,LL001152_R_+_LL001166_F
PT000909_VB03678_R,VB05498_F,PT000909_VB03678_R_+_VB05498_F
PT003319_PT003352_VB01280_R,PT003327_PT003360_VB01349_F,PT003319_PT003352_VB01280_R_+_PT003327_PT003360_VB01349_F
VB01285_R,VB01351_F,VB01285_R_+_VB01351_F
VB01286_R,VB01352_F,VB01286_R_+_VB01352_F
VB03910_R,VB03916_F,VB03910_R_+_VB03916_F
LL001217_R,LL001214_F,LL001217_R_+_LL001214_F
LL001356_R,LL001353_F,LL001356_R_+_LL001353_F
LL001428_R,LL001425_F,LL001428_R_+_LL001425_F
LL001447_R,LL001444_F,LL001447_R_+_LL001444_F
LL001464_R,LL001461_F,LL001464_R_+_LL001461_F
LL001498_R,LL001495_F,LL001498_R_+_LL001495_F
PT000138_PT013212_R,PT000135_PT013209_F,PT000138_PT013212_R_+_PT000135_PT013209_F
PT000184_VB01243_R,PT000175_VB01236_VB01928_F,PT000184_VB01243_R_+_PT000175_VB01236_VB01928_F
PT002357_R,PT002353_F,PT002357_R_+_PT002353_F
PT017367_R,PT017370_VB04492_F,PT017367_R_+_PT017370_VB04492_F
PT025020_PT025043_R,PT025019_PT025042_F,PT025020_PT025043_R_+_PT025019_PT025042_F
LL000726_R,LL000725_F,LL000726_R_+_LL000725_F
LL000807_R,LL000806_F,LL000807_R_+_LL000806_F
LL000843_R,LL000842_F,LL000843_R_+_LL000842_F
LL000858_R,LL000857_F,LL000858_R_+_LL000857_F
LL000873_R,LL000872_F,LL000873_R_+_LL000872_F
LL000907_R,LL000906_F,LL000907_R_+_LL000906_F
LL001034_R,LL001033_F,LL001034_R_+_LL001033_F
PT001280_PT013646_R,PT001277_PT013643_PT013693_F,PT001280_PT013646_R_+_PT001277_PT013643_PT013693_F
LL000066_R,LL000025_F,LL000066_R_+_LL000025_F
LL000727_R,LL000730_F,LL000727_R_+_LL000730_F
LL000808_R,LL000811_F,LL000808_R_+_LL000811_F
LL000844_R,LL000847_F,LL000844_R_+_LL000847_F
LL000859_R,LL000862_F,LL000859_R_+_LL000862_F
LL000874_R,LL000877_F,LL000874_R_+_LL000877_F
LL000908_R,LL000911_F,LL000908_R_+_LL000911_F
LL001035_R,LL001038_F,LL001035_R_+_LL001038_F
LL001069_R,LL001072_F,LL001069_R_+_LL001072_F
LL001091_R,LL001094_F,LL001091_R_+_LL001094_F
LL000522_R,LL000521_F,LL000522_R_+_LL000521_F
LL001652_R,LL001648_LL001651_F,LL001652_R_+_LL001648_LL001651_F
PT000190_VB01624_VB01914_R,PT001694_VB01614_VB01913_F,PT000190_VB01624_VB01914_R_+_PT001694_VB01614_VB01913_F
PT018608_VB03533_R,PT018607_VB03532_F,PT018608_VB03533_R_+_PT018607_VB03532_F
VB00189_VB04174_R,PT001059_PT001468_PT007431_PT013491_PT013789_F,VB00189_VB04174_R_+_PT001059_PT001468_PT007431_PT013491_PT013789_F
PT025013_PT025036_R,PT025023_PT025046_F,PT025013_PT025036_R_+_PT025023_PT025046_F
PT025060_PT025083_R,PT025070_PT025093_F,PT025060_PT025083_R_+_PT025070_PT025093_F
LL000203_R,LL000202_F,LL000203_R_+_LL000202_F
LL000342_R,LL000340_F,LL000342_R_+_LL000340_F
LL000431_R,LL000429_F,LL000431_R_+_LL000429_F
LL001161_R,LL001151_F,LL001161_R_+_LL001151_F
LL001260_R,LL001029_F,LL001260_R_+_LL001029_F
LL001405_R,LL000919_F,LL001405_R_+_LL000919_F
LL001528_R,LL000838_F,LL001528_R_+_LL000838_F
PT000901_VB03669_R,PT000897_VB03661_F,PT000901_VB03669_R_+_PT000897_VB03661_F
PT000920_R,PT000916_F,PT000920_R_+_PT000916_F
LL001507_R,LL000885_F,LL001507_R_+_LL000885_F
LL001905_R,LL001909_F,LL001905_R_+_LL001909_F
PT000441_PT002866_VB04033_R,PT002659_F,PT000441_PT002866_VB04033_R_+_PT002659_F
PT000814_PT003390_PT013428_PT014194_VB04312_VB04350_R,PT009721_PT014501_VB04352_F,PT000814_PT003390_PT013428_PT014194_VB04312_VB04350_R_+_PT009721_PT014501_VB04352_F
PT000815_PT003391_PT013429_PT014195_VB04317_VB04418_R,PT009727_PT014506_VB04420_F,PT000815_PT003391_PT013429_PT014195_VB04317_VB04418_R_+_PT009727_PT014506_VB04420_F
LL000104_R,LL000106_F,LL000104_R_+_LL000106_F
LL000728_R,LL000723_F,LL000728_R_+_LL000723_F
LL000809_R,LL000804_F,LL000809_R_+_LL000804_F
LL000845_R,LL000840_F,LL000845_R_+_LL000840_F
LL000860_R,LL000855_F,LL000860_R_+_LL000855_F
LL000875_R,LL000870_F,LL000875_R_+_LL000870_F
PT004591_R,PT004590_F,PT004591_R_+_PT004590_F
PT022592_PT022690_R,PT002086_PT002490_PT022588_PT022686_VB02269_F,PT022592_PT022690_R_+_PT002086_PT002490_PT022588_PT022686_VB02269_F
VB00026_R,VB00261_F,VB00026_R_+_VB00261_F
PT003323_PT003356_VB01306_R,PT015402_VB01295_F,PT003323_PT003356_VB01306_R_+_PT015402_VB01295_F
PT015907_VB02082_R,PT001582_VB02081_F,PT015907_VB02082_R_+_PT001582_VB02081_F
PT015917_VB02256_R,PT001588_VB02255_F,PT015917_VB02256_R_+_PT001588_VB02255_F
PT015926_VB02324_R,PT001592_PT012690_VB02323_F,PT015926_VB02324_R_+_PT001592_PT012690_VB02323_F
PT015928_VB02332_R,PT001594_PT002870_VB02331_F,PT015928_VB02332_R_+_PT001594_PT002870_VB02331_F
PT015938_VB02488_R,PT001598_VB02487_F,PT015938_VB02488_R_+_PT001598_VB02487_F
PT015945_VB02533_R,PT001602_VB02532_F,PT015945_VB02533_R_+_PT001602_VB02532_F
VB01307_R,VB01298_F,VB01307_R_+_VB01298_F
VB01308_R,VB01299_F,VB01308_R_+_VB01299_F
VB06140_R,VB06137_F,VB06140_R_+_VB06137_F
PT003514_R,PT003517_F,PT003514_R_+_PT003517_F
VB00716_R,VB03370_F,VB00716_R_+_VB03370_F
LL000774_R,LL001612_F,LL000774_R_+_LL001612_F
LL000717_R,LL001646_F,LL000717_R_+_LL001646_F
PT003287_VB03118_R,PT000569_VB03122_F,PT003287_VB03118_R_+_PT000569_VB03122_F
LL002333_R,LL002332_F,LL002333_R_+_LL002332_F
LL000126_R,LL000128_F,LL000126_R_+_LL000128_F
PT001474_PT013795_VB04179_R,PT001472_PT013793_VB04184_F,PT001474_PT013795_VB04179_R_+_PT001472_PT013793_VB04184_F
LL000751_R,LL000747_F,LL000751_R_+_LL000747_F
LL000980_R,LL000976_F,LL000980_R_+_LL000976_F
LL001060_R,LL001056_F,LL001060_R_+_LL001056_F
PT002655_VB02156_R,PT002651_VB02153_F,PT002655_VB02156_R_+_PT002651_VB02153_F
LL001002_R,LL000998_F,LL001002_R_+_LL000998_F
LL000791_R,LL000787_F,LL000791_R_+_LL000787_F
LL000991_R,LL000987_F,LL000991_R_+_LL000987_F
PT005110_R,VB00164_F,PT005110_R_+_VB00164_F
PT018599_VB03486_R,PT018595_VB03482_F,PT018599_VB03486_R_+_PT018595_VB03482_F
LL000960_R,LL000962_F,LL000960_R_+_LL000962_F
LL000930_R,LL001386_F,LL000930_R_+_LL001386_F
LL000889_R,LL001481_F,LL000889_R_+_LL001481_F
LL001211_R,LL001207_F,LL001211_R_+_LL001207_F
LL001350_R,LL001346_F,LL001350_R_+_LL001346_F
LL001422_R,LL001418_F,LL001422_R_+_LL001418_F
LL000527_R,LL000526_F,LL000527_R_+_LL000526_F
LL001010_R,LL001296_F,LL001010_R_+_LL001296_F
LL001122_R,LL001170_F,LL001122_R_+_LL001170_F
LL001908_R,LL001917_LL001977_F,LL001908_R_+_LL001917_LL001977_F
LL001519_R,LL000852_F,LL001519_R_+_LL000852_F
LL001612_R,LL001616_F,LL001612_R_+_LL001616_F
LL001441_R,LL001437_F,LL001441_R_+_LL001437_F
PT001385_PT013716_R,PT001308_PT001386_PT013666_PT013717_F,PT001385_PT013716_R_+_PT001308_PT001386_PT013666_PT013717_F
PT001391_PT013721_VB00692_R,PT001392_PT013722_F,PT001391_PT013721_VB00692_R_+_PT001392_PT013722_F
PT003006_PT003007_PT011841_PT014725_PT014744_VB00511_VB02854_R,PT003019_PT011854_VB03944_F,PT003006_PT003007_PT011841_PT014725_PT014744_VB00511_VB02854_R_+_PT003019_PT011854_VB03944_F
VB01346_R,VB01273_F,VB01346_R_+_VB01273_F
VB01347_R,VB01274_F,VB01347_R_+_VB01274_F
VB01348_R,VB01277_F,VB01348_R_+_VB01277_F
VB03146_R,VB03134_F,VB03146_R_+_VB03134_F
LL001195_R,LL001189_F,LL001195_R_+_LL001189_F
LL001368_R,LL001362_F,LL001368_R_+_LL001362_F
LL001393_R,LL001387_F,LL001393_R_+_LL001387_F
LL001554_R,LL001548_F,LL001554_R_+_LL001548_F
LL001575_R,LL001569_F,LL001575_R_+_LL001569_F
LL001634_R,LL001628_F,LL001634_R_+_LL001628_F
VB03927_R,VB03923_F,VB03927_R_+_VB03923_F
PT000175_VB01236_VB01928_R,PT000186_PT005088_VB01222_VB01923_F,PT000175_VB01236_VB01928_R_+_PT000186_PT005088_VB01222_VB01923_F
PT002353_R,PT002344_F,PT002353_R_+_PT002344_F
PT017345_VB04480_R,PT017346_VB04479_F,PT017345_VB04480_R_+_PT017346_VB04479_F
PT017372_R,PT017373_VB04494_F,PT017372_R_+_PT017373_VB04494_F
VB04639_R,VB00273_F,VB04639_R_+_VB00273_F
LL001205_R,LL001203_F,LL001205_R_+_LL001203_F
LL001344_R,LL001342_F,LL001344_R_+_LL001342_F
LL001416_R,LL001414_F,LL001416_R_+_LL001414_F
LL001435_R,LL001433_F,LL001435_R_+_LL001433_F
LL001452_R,LL001450_F,LL001452_R_+_LL001450_F
LL001486_R,LL001484_F,LL001486_R_+_LL001484_F
PT000140_PT013214_R,PT000130_PT013204_F,PT000140_PT013214_R_+_PT000130_PT013204_F
PT000181_VB01226_R,PT000179_VB01219_VB01922_F,PT000181_VB01226_R_+_PT000179_VB01219_VB01922_F
PT002345_R,PT002343_F,PT002345_R_+_PT002343_F
LL000945_R,LL001382_F,LL000945_R_+_LL001382_F
LL001103_R,LL001183_F,LL001103_R_+_LL001183_F
LL001222_R,LL001218_F,LL001222_R_+_LL001218_F
LL001238_R,LL001234_F,LL001238_R_+_LL001234_F
LL001903_R,LL001904_LL001978_F,LL001903_R_+_LL001904_LL001978_F
LL001284_R,LL001280_F,LL001284_R_+_LL001280_F
LL001321_R,LL001317_F,LL001321_R_+_LL001317_F
LL001469_R,LL001465_F,LL001469_R_+_LL001465_F
LL000731_R,LL001639_F,LL000731_R_+_LL001639_F
LL000812_R,LL001568_F,LL000812_R_+_LL001568_F
LL000848_R,LL001519_F,LL000848_R_+_LL001519_F
LL000863_R,LL001517_F,LL000863_R_+_LL001517_F
LL000878_R,LL001515_F,LL000878_R_+_LL001515_F
LL000912_R,LL001430_F,LL000912_R_+_LL001430_F
LL001039_R,LL001251_F,LL001039_R_+_LL001251_F
LL001073_R,LL001200_F,LL001073_R_+_LL001200_F
LL001095_R,LL001188_F,LL001095_R_+_LL001188_F
LL001113_R,LL001172_F,LL001113_R_+_LL001172_F
LL001269_R,LL001275_F,LL001269_R_+_LL001275_F
LL001299_R,LL001305_F,LL001299_R_+_LL001305_F
LL001537_R,LL001543_F,LL001537_R_+_LL001543_F
LL001581_R,LL001587_F,LL001581_R_+_LL001587_F
PT001706_VB01402_VB01933_R,PT001707_VB01408_VB01934_F,PT001706_VB01402_VB01933_R_+_PT001707_VB01408_VB01934_F
VB00106_R,VB00105_F,VB00106_R_+_VB00105_F
LL001170_R,LL001126_F,LL001170_R_+_LL001126_F
LL001296_R,LL001014_F,LL001296_R_+_LL001014_F
LL001386_R,LL000934_F,LL001386_R_+_LL000934_F
LL001481_R,LL000893_F,LL001481_R_+_LL000893_F
PT002442_VB01710_VB03509_VB05744_R,PT002440_VB01700_VB03506_VB05743_F,PT002442_VB01710_VB03509_VB05744_R_+_PT002440_VB01700_VB03506_VB05743_F
PT015347_PT015352_VB04360_R,PT009718_PT014498_VB04354_F,PT015347_PT015352_VB04360_R_+_PT009718_PT014498_VB04354_F
PT015357_PT015366_VB04427_R,PT009724_PT014503_VB04421_F,PT015357_PT015366_VB04427_R_+_PT009724_PT014503_VB04421_F
PT015361_PT015370_VB04456_R,PT009730_PT014508_VB04451_F,PT015361_PT015370_VB04456_R_+_PT009730_PT014508_VB04451_F
VB00875_R,VB00873_F,VB00875_R_+_VB00873_F
PT003328_PT003361_VB01326_R,PT015402_VB01295_F,PT003328_PT003361_VB01326_R_+_PT015402_VB01295_F
VB00592_R,VB03138_F,VB00592_R_+_VB03138_F
VB01327_R,VB01298_F,VB01327_R_+_VB01298_F
VB01328_R,VB01299_F,VB01328_R_+_VB01299_F
VB04474_R,VB02925_F,VB04474_R_+_VB02925_F
LL000896_R,LL000887_F,LL000896_R_+_LL000887_F
LL000937_R,LL000928_F,LL000937_R_+_LL000928_F
LL001017_R,LL001008_F,LL001017_R_+_LL001008_F
LL001129_R,LL001120_F,LL001129_R_+_LL001120_F
PT000556_PT000875_VB03072_R,PT000551_PT000853_VB00887_VB01677_VB03067_VB03960_VB05794_F,PT000556_PT000875_VB03072_R_+_PT000551_PT000853_VB00887_VB01677_VB03067_VB03960_VB05794_F
PT001108_PT013523_VB04250_R,PT020196_PT020232_VB04248_F,PT001108_PT013523_VB04250_R_+_PT020196_PT020232_VB04248_F
PT001490_PT013810_R,PT001419_PT001488_PT013744_PT013808_F,PT001490_PT013810_R_+_PT001419_PT001488_PT013744_PT013808_F
PT001557_R,PT000447_PT002780_PT002950_VB02290_VB04046_F,PT001557_R_+_PT000447_PT002780_PT002950_VB02290_VB04046_F
PT002590_PT014049_R,PT002585_PT014044_F,PT002590_PT014049_R_+_PT002585_PT014044_F
PT002596_PT014055_R,PT002591_PT014050_F,PT002596_PT014055_R_+_PT002591_PT014050_F
LL000439_R,LL000438_F,LL000439_R_+_LL000438_F
LL001821_R,LL001822_F,LL001821_R_+_LL001822_F
PT000224_PT013259_R,PT000233_PT013268_F,PT000224_PT013259_R_+_PT000233_PT013268_F
PT019012_PT019025_PT019037_VB02790_VB04343_R,PT019015_PT019028_PT019040_VB02791_VB04344_F,PT019012_PT019025_PT019037_VB02790_VB04343_R_+_PT019015_PT019028_PT019040_VB02791_VB04344_F
LL001276_R,LL001278_F,LL001276_R_+_LL001278_F
LL001306_R,LL001308_F,LL001306_R_+_LL001308_F
LL001544_R,LL001546_F,LL001544_R_+_LL001546_F
LL001588_R,LL001590_F,LL001588_R_+_LL001590_F
PT002459_VB03499_R,PT002463_VB03501_F,PT002459_VB03499_R_+_PT002463_VB03501_F
PT002903_PT002912_VB03526_R,PT002897_PT002900_PT002907_PT002916_VB03527_VB05467_F,PT002903_PT002912_VB03526_R_+_PT002897_PT002900_PT002907_PT002916_VB03527_VB05467_F
PT003657_PT003658_VB03157_VB03967_R,PT003659_PT003660_VB03158_VB03968_F,PT003657_PT003658_VB03157_VB03967_R_+_PT003659_PT003660_VB03158_VB03968_F
VB03633_R,PT002035_VB02350_F,VB03633_R_+_PT002035_VB02350_F
VB03649_R,VB03650_F,VB03649_R_+_VB03650_F
LL001155_R,LL001167_F,LL001155_R_+_LL001167_F
LL001254_R,LL001266_F,LL001254_R_+_LL001266_F
LL001399_R,LL001411_F,LL001399_R_+_LL001411_F
LL001501_R,LL001513_F,LL001501_R_+_LL001513_F
LL001522_R,LL001534_F,LL001522_R_+_LL001534_F
LL001688_R,LL001685_F,LL001688_R_+_LL001685_F
PT000905_VB03676_R,PT000902_VB00593_F,PT000905_VB03676_R_+_PT000902_VB00593_F
PT003322_PT003355_VB01300_R,PT003329_PT003362_VB01355_F,PT003322_PT003355_VB01300_R_+_PT003329_PT003362_VB01355_F
VB00976_VB03913_R,VB03917_F,VB00976_VB03913_R_+_VB03917_F
VB01301_R,VB01357_F,VB01301_R_+_VB01357_F
LL001565_R,LL000823_F,LL001565_R_+_LL000823_F
LL001606_R,LL000779_F,LL001606_R_+_LL000779_F
LL001626_R,LL000765_F,LL001626_R_+_LL000765_F
PT000086_PT000524_R,PT016920_PT016936_F,PT000086_PT000524_R_+_PT016920_PT016936_F
PT001503_PT013818_R,PT006582_PT014330_F,PT001503_PT013818_R_+_PT006582_PT014330_F
PT012615_VB02074_VB02385_R,VB05083_F,PT012615_VB02074_VB02385_R_+_VB05083_F
PT012617_VB02095_R,PT000422_VB02093_F,PT012617_VB02095_R_+_PT000422_VB02093_F
PT012619_VB02140_R,PT000424_VB02138_F,PT012619_VB02140_R_+_PT000424_VB02138_F
PT012621_VB02186_R,PT000426_PT002483_F,PT012621_VB02186_R_+_PT000426_PT002483_F
PT012623_VB02190_R,PT000428_PT002485_VB02188_F,PT012623_VB02190_R_+_PT000428_PT002485_VB02188_F
LL000233_R,LL000232_F,LL000233_R_+_LL000232_F
PT001347_R,PT001343_F,PT001347_R_+_PT001343_F
PT003515_R,PT003512_F,PT003515_R_+_PT003512_F
PT012114_PT012146_PT012178_VB00352_R,PT008203_PT012107_PT012139_PT012171_PT012203_PT014440_PT014458_VB00867_VB01982_VB05624_F,PT012114_PT012146_PT012178_VB00352_R_+_PT008203_PT012107_PT012139_PT012171_PT012203_PT014440_PT014458_VB00867_VB01982_VB05624_F
PT025010_PT025033_R,PT025013_PT025036_F,PT025010_PT025033_R_+_PT025013_PT025036_F
PT025057_PT025080_R,PT025060_PT025083_F,PT025057_PT025080_R_+_PT025060_PT025083_F
PT001480_PT013801_VB04186_R,PT001477_PT013798_VB04175_F,PT001480_PT013801_VB04186_R_+_PT001477_PT013798_VB04175_F
